species_code,scientific_name,recording_id,safe_id,focal_channel,channel_scores,species_score,birdnet_conf,bout_snr,bout_ndsi,bout_quality,rank_score,bout_idx,bout_onset,bout_offset,bout_duration,n_notes,total_note_dur,silence_ratio,notes_json,method
spbduc,Anas zonorhyncha,ml:628892133,ml_628892133,1,[],1.0,0.0,22.23,0.9983,0.9743,0.974323,56,84.28,85.23,0.95,2,0.73,0.2316,"[[84.28, 84.41], [84.63, 85.23]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:841268,xc_841268,0,[],1.0,0.0,21.65,0.9997,0.9704,0.97035,9,13.21,16.1,2.89,6,2.3,0.2042,"[[13.21, 13.39], [13.49, 15.33], [15.52, 15.55], [15.64, 15.72], [15.82, 15.9], [16.01, 16.1]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:628892133,ml_628892133,1,[],1.0,0.0,21.66,0.9975,0.9694,0.969436,52,76.65,77.53,0.88,2,0.65,0.2614,"[[76.65, 76.78], [77.01, 77.53]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644735222,ml_644735222,1,[],1.0,0.0,19.43,0.9967,0.9426,0.942644,9,17.49,18.11,0.62,2,0.35,0.4355,"[[17.49, 17.57], [17.84, 18.11]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:641587830,ml_641587830,0,[],1.0,0.0,19.39,0.9976,0.9425,0.94246,154,243.73,246.69,2.96,8,1.48,0.5,"[[243.73, 243.86], [244.07, 244.51], [244.8, 245.16], [245.26, 245.3], [245.57, 245.92], [245.97, 246.04], [246.41, 246.45], [246.64, 246.69]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:648403284,ml_648403284,3,[],1.0,0.0,20.52,0.9626,0.9412,0.941223,11,9.88,10.38,0.5,3,0.22,0.56,"[[9.88, 9.92], [10.14, 10.28], [10.34, 10.38]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644735222,ml_644735222,1,[],1.0,0.0,18.76,0.9985,0.9319,0.931941,8,16.58,16.84,0.26,1,0.26,0.0,"[[16.58, 16.84]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:643533380,ml_643533380,3,[],1.0,0.0,30.63,0.8565,0.9264,0.926362,51,78.16,78.29,0.13,1,0.13,0.0,"[[78.16, 78.29]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:649704395,ml_649704395,0,[],0.9884,0.0,19.18,0.986,0.9336,0.922761,74,147.68,148.48,0.8,3,0.66,0.175,"[[147.68, 147.94], [148.01, 148.2], [148.27, 148.48]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644396170,ml_644396170,0,[],1.0,0.0,18.21,0.9987,0.9209,0.92085,79,120.54,121.98,1.44,4,0.97,0.3264,"[[120.54, 121.18], [121.31, 121.41], [121.57, 121.69], [121.87, 121.98]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644735222,ml_644735222,1,[],1.0,0.0,18.19,0.9991,0.9207,0.920747,11,19.93,20.32,0.39,2,0.25,0.359,"[[19.93, 20.1], [20.24, 20.32]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:648403284,ml_648403284,3,[],1.0,0.0,18.47,0.9852,0.9201,0.920117,43,42.79,43.02,0.23,1,0.23,0.0,"[[42.79, 43.02]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:637734220,ml_637734220,1,[],1.0,0.0,21.82,0.8912,0.9191,0.919103,13,15.54,18.45,2.91,9,1.94,0.3333,"[[15.54, 16.13], [16.19, 16.24], [16.41, 16.45], [16.54, 16.63], [16.7, 16.74], [16.81, 17.18], [17.48, 17.53], [17.66, 18.31], [18.39, 18.45]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644565379,ml_644565379,3,[],1.0,0.0,18.06,0.9977,0.9172,0.917229,51,107.36,108.21,0.85,2,0.54,0.3647,"[[107.36, 107.56], [107.87, 108.21]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:803918,xc_803918,1,[],1.0,0.0,18.03,0.9902,0.9131,0.913086,11,19.86,20.55,0.69,2,0.49,0.2899,"[[19.86, 20.09], [20.29, 20.55]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:649704395,ml_649704395,0,[],0.9884,0.0,18.42,0.9939,0.9232,0.912482,51,109.0,109.44,0.44,2,0.28,0.3636,"[[109.0, 109.15], [109.31, 109.44]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:637734220,ml_637734220,1,[],1.0,0.0,18.65,0.9499,0.9073,0.907256,198,372.77,380.25,7.48,25,4.4,0.4118,"[[372.77, 373.06], [373.18, 373.36], [373.43, 373.47], [373.54, 373.92], [374.1, 374.21], [374.29, 374.61], [374.7, 374.75], [374.84, 374.94], [375.0, 375.05], [375.11, 375.28], [375.38, 375.48], [375.63, 376.07], [376.15, 376.3], [376.55, 376.69], [376.75, 376.78], [376.89, 376.93], [377.2, 377.32], [377.44, 377.52], [377.6, 377.73], [377.8, 378.04], [378.09, 378.91], [379.12, 379.22], [379.51, 379.55], [379.62, 379.65], [380.0, 380.25]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:841268,xc_841268,0,[],1.0,0.0,17.58,0.9998,0.9067,0.906663,27,75.12,80.74,5.62,5,5.19,0.0765,"[[75.12, 79.4], [79.45, 80.11], [80.19, 80.28], [80.43, 80.52], [80.67, 80.74]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644396170,ml_644396170,0,[],1.0,0.0,17.55,0.9996,0.9056,0.905623,73,111.1,112.58,1.48,3,0.76,0.4865,"[[111.1, 111.66], [112.02, 112.1], [112.46, 112.58]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644396170,ml_644396170,0,[],1.0,0.0,17.54,0.9988,0.9052,0.905211,78,119.21,120.11,0.9,2,0.79,0.1222,"[[119.21, 119.72], [119.83, 120.11]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644396170,ml_644396170,0,[],1.0,0.0,17.51,0.9979,0.9039,0.90387,81,123.17,128.23,5.06,13,3.08,0.3913,"[[123.17, 123.82], [123.9, 123.93], [124.06, 124.15], [124.22, 124.48], [124.71, 125.14], [125.2, 125.37], [125.46, 125.53], [125.68, 125.72], [125.99, 126.13], [126.38, 126.74], [126.85, 127.09], [127.24, 127.74], [128.13, 128.23]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:841268,xc_841268,0,[],1.0,0.0,17.51,0.9973,0.9037,0.903669,24,55.33,60.96,5.63,11,4.25,0.2451,"[[55.33, 55.43], [55.57, 55.65], [55.86, 56.05], [56.12, 56.26], [56.38, 56.56], [56.62, 58.35], [58.45, 58.94], [59.28, 59.32], [59.46, 59.69], [59.74, 60.62], [60.77, 60.96]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644735222,ml_644735222,1,[],1.0,0.0,17.5,0.9971,0.9033,0.903282,24,45.1,46.0,0.9,3,0.52,0.4222,"[[45.1, 45.24], [45.4, 45.72], [45.94, 46.0]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644342634,ml_644342634,3,[],1.0,0.0,17.52,0.9925,0.9017,0.901689,26,32.96,34.65,1.69,4,0.85,0.497,"[[32.96, 32.99], [33.31, 33.42], [33.69, 33.85], [34.1, 34.65]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:841268,xc_841268,0,[],1.0,0.0,17.49,0.9894,0.8997,0.899681,20,41.77,44.69,2.92,4,2.63,0.0993,"[[41.77, 41.82], [41.96, 43.45], [43.52, 44.56], [44.64, 44.69]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:643520937,ml_643520937,1,[],1.0,0.0,17.3,0.9988,0.8989,0.89889,113,168.71,169.18,0.47,1,0.47,0.0,"[[168.71, 169.18]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644396170,ml_644396170,0,[],1.0,0.0,17.27,0.9991,0.8982,0.898172,74,113.28,115.14,1.86,3,1.52,0.1828,"[[113.28, 113.42], [113.59, 113.69], [113.86, 115.14]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:637734986,ml_637734986,3,[],1.0,0.0,20.07,0.8812,0.8969,0.896877,97,101.6,103.55,1.95,7,1.0,0.4872,"[[101.6, 101.67], [101.81, 101.92], [102.04, 102.08], [102.44, 102.52], [102.69, 102.77], [102.82, 102.91], [103.02, 103.55]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:640591471,ml_640591471,3,[],1.0,0.0,17.22,0.9976,0.896,0.896023,142,187.37,190.24,2.87,9,2.03,0.2927,"[[187.37, 187.52], [187.68, 187.96], [188.01, 188.06], [188.16, 188.68], [188.73, 188.81], [188.88, 189.12], [189.2, 189.42], [189.57, 189.91], [190.09, 190.24]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:637734220,ml_637734220,1,[],1.0,0.0,27.36,0.7979,0.894,0.894039,262,479.48,481.2,1.72,5,1.12,0.3488,"[[479.48, 479.54], [479.7, 479.81], [479.87, 480.05], [480.22, 480.38], [480.59, 481.2]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:646389260,ml_646389260,1,[],1.0,0.0,16.98,0.9952,0.888,0.888048,31,41.6,41.96,0.36,2,0.16,0.5556,"[[41.6, 41.7], [41.9, 41.96]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:414279,xc_414279,1,[],0.9991,0.0,17.19,0.9687,0.8824,0.8816,127,184.7,188.03,3.33,8,2.18,0.3453,"[[184.7, 185.37], [185.75, 186.15], [186.26, 186.29], [186.4, 186.89], [187.0, 187.06], [187.18, 187.4], [187.55, 187.75], [187.92, 188.03]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644565379,ml_644565379,3,[],1.0,0.0,16.73,0.9969,0.8814,0.88144,50,105.95,106.66,0.71,3,0.35,0.507,"[[105.95, 105.99], [106.1, 106.34], [106.59, 106.66]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:414279,xc_414279,1,[],0.9991,0.0,16.8,0.9937,0.8821,0.881285,130,191.8,193.22,1.42,4,0.81,0.4296,"[[191.8, 191.83], [192.2, 192.35], [192.46, 192.56], [192.69, 193.22]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:648403284,ml_648403284,3,[],1.0,0.0,17.55,0.9444,0.8807,0.880705,27,25.61,27.12,1.51,6,0.63,0.5828,"[[25.61, 25.66], [25.86, 26.0], [26.27, 26.33], [26.38, 26.55], [26.66, 26.84], [27.09, 27.12]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:649704395,ml_649704395,0,[],0.9884,0.0,17.0,0.9963,0.8893,0.878938,47,102.71,103.17,0.46,1,0.46,0.0,"[[102.71, 103.17]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:641731888,ml_641731888,1,[],1.0,0.0,18.06,0.9054,0.8747,0.874741,85,187.06,187.36,0.3,2,0.24,0.2,"[[187.06, 187.25], [187.31, 187.36]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:640545381,ml_640545381,3,[],1.0,0.0,31.0,0.7485,0.8726,0.872642,16,33.83,39.68,5.85,22,3.27,0.441,"[[33.83, 33.86], [34.09, 34.18], [34.41, 34.49], [34.7, 34.9], [35.0, 35.19], [35.26, 35.32], [35.37, 35.46], [35.55, 35.71], [35.83, 35.88], [35.95, 36.0], [36.06, 36.19], [36.25, 36.35], [36.65, 36.76], [36.86, 36.95], [37.07, 37.4], [37.46, 37.63], [37.76, 37.91], [37.98, 38.52], [38.73, 39.06], [39.14, 39.32], [39.39, 39.44], [39.59, 39.68]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:637734986,ml_637734986,3,[],1.0,0.0,19.17,0.8542,0.8715,0.871471,76,77.93,80.97,3.04,10,1.71,0.4375,"[[77.93, 78.45], [78.66, 78.69], [78.83, 78.93], [79.07, 79.57], [79.71, 79.86], [80.0, 80.21], [80.32, 80.36], [80.68, 80.73], [80.79, 80.83], [80.9, 80.97]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644735222,ml_644735222,1,[],1.0,0.0,16.38,0.9992,0.8711,0.871141,10,19.21,19.47,0.26,1,0.26,0.0,"[[19.21, 19.47]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:643520937,ml_643520937,1,[],1.0,0.0,16.36,0.9834,0.8636,0.863603,3,8.72,11.86,3.14,8,1.98,0.3694,"[[8.72, 8.87], [8.96, 9.4], [9.79, 10.04], [10.17, 10.31], [10.41, 10.46], [10.56, 10.6], [10.72, 11.49], [11.72, 11.86]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:641587830,ml_641587830,0,[],1.0,0.0,16.1,0.9948,0.8596,0.859619,73,113.36,116.85,3.49,11,1.84,0.4728,"[[113.36, 113.59], [113.93, 114.18], [114.25, 114.29], [114.42, 114.54], [114.78, 114.97], [115.26, 115.74], [115.8, 115.85], [115.9, 115.94], [116.28, 116.6], [116.68, 116.71], [116.76, 116.85]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644565379,ml_644565379,3,[],1.0,0.0,16.14,0.9879,0.8581,0.858077,10,32.19,32.82,0.63,3,0.5,0.2063,"[[32.19, 32.36], [32.43, 32.65], [32.71, 32.82]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:638013247,ml_638013247,0,[],1.0,0.0,15.95,0.9985,0.8556,0.855584,18,49.85,50.14,0.29,1,0.29,0.0,"[[49.85, 50.14]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:646389260,ml_646389260,1,[],1.0,0.0,15.61,0.9666,0.8293,0.829262,27,33.65,36.07,2.42,5,1.59,0.343,"[[33.65, 34.0], [34.09, 34.13], [34.43, 34.72], [34.86, 35.52], [35.82, 36.07]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:803917,xc_803917,1,[],1.0,0.0,19.11,0.7619,0.8271,0.827133,3,4.89,8.28,3.39,10,2.28,0.3274,"[[4.89, 5.03], [5.2, 5.56], [5.81, 6.25], [6.53, 7.08], [7.14, 7.41], [7.48, 7.52], [7.57, 7.65], [7.71, 7.79], [7.87, 8.09], [8.18, 8.28]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:643533380,ml_643533380,3,[],1.0,0.0,31.27,0.6528,0.825,0.824978,50,75.54,77.03,1.49,4,1.2,0.1946,"[[75.54, 75.58], [75.75, 76.34], [76.4, 76.71], [76.77, 77.03]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:637812662,ml_637812662,0,[],1.0,0.0,15.44,0.968,0.8232,0.82319,27,52.22,55.38,3.16,9,1.71,0.4589,"[[52.22, 52.3], [52.45, 52.48], [52.75, 52.79], [53.03, 53.34], [53.45, 53.52], [53.74, 53.82], [54.03, 54.58], [54.72, 54.89], [55.0, 55.38]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:638013247,ml_638013247,0,[],1.0,0.0,15.02,0.9956,0.8166,0.816586,16,46.85,48.63,1.78,4,1.21,0.3202,"[[46.85, 46.91], [47.06, 47.38], [47.56, 48.13], [48.37, 48.63]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:649704395,ml_649704395,0,[],0.9884,0.0,15.6,0.9594,0.8256,0.816064,32,69.18,74.5,5.32,19,3.03,0.4305,"[[69.18, 69.26], [69.63, 69.66], [69.76, 69.82], [70.05, 70.46], [70.55, 70.86], [71.01, 71.15], [71.26, 71.3], [71.36, 71.47], [71.55, 71.78], [71.85, 71.95], [72.04, 72.08], [72.21, 72.27], [72.36, 72.59], [72.66, 72.8], [72.94, 73.42], [73.61, 73.67], [73.75, 73.95], [74.14, 74.28], [74.33, 74.5]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:649704395,ml_649704395,0,[],0.9884,0.0,15.42,0.9684,0.8225,0.813,31,66.35,68.77,2.42,10,1.47,0.3926,"[[66.35, 66.53], [66.74, 66.83], [66.99, 67.06], [67.13, 67.16], [67.21, 67.38], [67.48, 67.64], [67.71, 67.83], [67.91, 68.41], [68.52, 68.55], [68.65, 68.77]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:637734986,ml_637734986,3,[],1.0,0.0,21.11,0.6773,0.8097,0.809731,78,83.96,87.73,3.77,9,2.49,0.3395,"[[83.96, 84.14], [84.46, 84.55], [84.68, 85.01], [85.12, 85.19], [85.27, 85.35], [85.4, 86.29], [86.66, 86.83], [87.0, 87.06], [87.11, 87.73]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:638927848,ml_638927848,0,[],1.0,0.0,14.89,0.9929,0.8095,0.80953,23,34.07,34.9,0.83,3,0.59,0.2892,"[[34.07, 34.14], [34.29, 34.48], [34.57, 34.9]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:638013247,ml_638013247,0,[],1.0,0.0,14.85,0.9964,0.8094,0.809362,14,42.74,45.33,2.59,8,1.26,0.5135,"[[42.74, 42.77], [42.85, 43.04], [43.25, 43.4], [43.71, 43.95], [44.27, 44.74], [44.94, 45.0], [45.13, 45.17], [45.25, 45.33]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644565379,ml_644565379,3,[],1.0,0.0,15.05,0.9724,0.8086,0.808589,5,19.46,23.14,3.68,8,2.37,0.356,"[[19.46, 19.79], [20.02, 20.26], [20.47, 20.69], [20.93, 21.02], [21.07, 21.24], [21.31, 21.35], [21.49, 21.89], [22.26, 23.14]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:641587830,ml_641587830,0,[],1.0,0.0,14.76,0.9876,0.8015,0.801526,57,91.74,93.97,2.23,7,1.12,0.4978,"[[91.74, 91.79], [91.85, 91.99], [92.07, 92.1], [92.29, 92.5], [92.81, 92.86], [93.15, 93.33], [93.51, 93.97]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:638013247,ml_638013247,0,[],1.0,0.0,14.67,0.9943,0.8003,0.800253,26,63.69,63.96,0.27,1,0.27,0.0,"[[63.69, 63.96]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:638927848,ml_638927848,0,[],1.0,0.0,14.6,0.9872,0.794,0.793995,29,41.62,43.88,2.26,8,1.07,0.5265,"[[41.62, 41.97], [42.08, 42.17], [42.22, 42.4], [42.58, 42.75], [42.93, 43.0], [43.27, 43.32], [43.49, 43.55], [43.78, 43.88]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:639572782,ml_639572782,0,[],1.0,0.0,15.55,0.8865,0.7933,0.793278,0,0.02,1.94,1.92,7,1.1,0.4271,"[[0.02, 0.1], [0.32, 0.42], [0.47, 0.52], [0.61, 0.81], [0.94, 1.08], [1.18, 1.65], [1.88, 1.94]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:640892284,ml_640892284,2,[],1.0,0.0,18.43,0.7067,0.7904,0.790351,64,112.77,113.19,0.42,2,0.19,0.5476,"[[112.77, 112.84], [113.07, 113.19]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:638927848,ml_638927848,0,[],1.0,0.0,14.41,0.9978,0.7887,0.788713,102,140.0,141.57,1.57,5,1.26,0.1975,"[[140.0, 140.13], [140.23, 140.41], [140.48, 140.67], [140.72, 141.12], [141.21, 141.57]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:648403284,ml_648403284,3,[],1.0,0.0,15.78,0.8447,0.7839,0.7839,17,16.06,17.62,1.56,4,0.64,0.5897,"[[16.06, 16.12], [16.45, 16.83], [17.13, 17.17], [17.46, 17.62]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:644342634,ml_644342634,3,[],1.0,0.0,14.24,0.9928,0.7783,0.778253,82,156.04,158.13,2.09,8,1.61,0.2297,"[[156.04, 156.67], [156.75, 156.93], [156.99, 157.03], [157.1, 157.43], [157.48, 157.51], [157.58, 157.64], [157.71, 158.0], [158.08, 158.13]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:637734220,ml_637734220,1,[],1.0,0.0,27.54,0.5625,0.7772,0.777243,300,549.26,550.69,1.43,5,0.73,0.4895,"[[549.26, 549.36], [549.75, 549.79], [549.91, 550.1], [550.15, 550.46], [550.6, 550.69]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:641587830,ml_641587830,0,[],1.0,0.0,14.23,0.9904,0.7769,0.776877,88,134.79,135.66,0.87,2,0.74,0.1494,"[[134.79, 134.94], [135.07, 135.66]]",bird-mixit+tweetynet
azwmag2,Cyanopica cyanus,xc:841272,xc_841272,0,"[0.994663, 0.399403, 0.269757, 0.100509]",0.9947,0.9947,33.05,0.9989,0.9984,0.993154,30,47.93,49.39,1.46,4,0.85,0.4178,"[[47.93, 48.1], [48.3, 48.48], [48.73, 48.83], [48.99, 49.39]]",bird-mixit+tweetynet
azwmag2,Cyanopica cyanus,xc:841272,xc_841272,0,"[0.994663, 0.399403, 0.269757, 0.100509]",0.9947,0.9947,32.3,0.9971,0.9973,0.992018,4,7.18,9.59,2.41,5,1.74,0.278,"[[7.18, 7.26], [7.34, 8.15], [8.34, 8.52], [8.79, 8.97], [9.1, 9.59]]",bird-mixit+tweetynet
azwmag2,Cyanopica cyanus,xc:841272,xc_841272,0,"[0.994663, 0.399403, 0.269757, 0.100509]",0.9947,0.9947,28.32,0.9951,0.9934,0.988184,50,78.25,79.07,0.82,4,0.53,0.3537,"[[78.25, 78.61], [78.67, 78.74], [78.82, 78.86], [79.01, 79.07]]",bird-mixit+tweetynet
azwmag2,Cyanopica cyanus,xc:841272,xc_841272,0,"[0.994663, 0.399403, 0.269757, 0.100509]",0.9947,0.9947,29.77,0.9905,0.9926,0.987367,54,86.67,88.37,1.7,4,0.97,0.4294,"[[86.67, 86.87], [87.04, 87.29], [87.46, 87.66], [88.05, 88.37]]",bird-mixit+tweetynet
azwmag2,Cyanopica cyanus,xc:841272,xc_841272,0,"[0.994663, 0.399403, 0.269757, 0.100509]",0.9947,0.9947,26.39,0.9965,0.991,0.985725,23,36.91,37.45,0.54,2,0.42,0.2222,"[[36.91, 37.0], [37.12, 37.45]]",bird-mixit+tweetynet
azwmag2,Cyanopica cyanus,xc:1027016,xc_1027016,0,"[0.995844, 0.118023, 0.187479, 0.988074]",0.9958,0.9958,25.98,0.9928,0.9882,0.984084,2,4.05,6.35,2.3,4,1.82,0.2087,"[[4.05, 4.25], [4.36, 4.6], [4.91, 5.12], [5.18, 6.35]]",bird-mixit+tweetynet
azwmag2,Cyanopica cyanus,xc:841258,xc_841258,1,"[0.500589, 0.999169, 0.529357, 0.463275]",0.9992,0.9992,26.96,0.9804,0.9841,0.983336,56,87.22,88.44,1.22,3,0.89,0.2705,"[[87.22, 87.74], [87.94, 88.18], [88.31, 88.44]]",bird-mixit+tweetynet
azwmag2,Cyanopica cyanus,xc:176438,xc_176438,0,"[0.995685, 0.0, 0.0, 0.0]",0.9957,0.9957,25.21,0.9937,0.9866,0.982312,8,19.56,21.4,1.84,5,1.2,0.3478,"[[19.56, 19.6], [19.72, 20.19], [20.38, 20.45], [20.69, 20.79], [20.88, 21.4]]",bird-mixit+tweetynet
azwmag2,Cyanopica cyanus,xc:841258,xc_841258,1,"[0.500589, 0.999169, 0.529357, 0.463275]",0.9992,0.9992,24.42,0.9905,0.9822,0.981462,51,79.56,80.72,1.16,3,0.77,0.3362,"[[79.56, 79.67], [79.81, 80.3], [80.55, 80.72]]",bird-mixit+tweetynet
azwmag2,Cyanopica cyanus,xc:841258,xc_841258,1,"[0.500589, 0.999169, 0.529357, 0.463275]",0.9992,0.9992,24.02,0.9906,0.9807,0.9799,50,76.32,79.14,2.82,9,1.33,0.5284,"[[76.32, 76.72], [77.09, 77.12], [77.23, 77.31], [77.45, 77.55], [77.68, 77.82], [77.97, 78.0], [78.05, 78.13], [78.47, 78.81], [79.01, 79.14]]",bird-mixit+tweetynet
azwmag2,Cyanopica cyanus,xc:841258,xc_841258,1,"[0.500589, 0.999169, 0.529357, 0.463275]",0.9992,0.9992,23.89,0.9911,0.9803,0.979529,13,19.19,20.37,1.18,1,1.18,0.0,"[[19.19, 20.37]]",bird-mixit+tweetynet
azwmag2,Cyanopica cyanus,xc:841258,xc_841258,1,"[0.500589, 0.999169, 0.529357, 0.463275]",0.9992,0.9992,24.38,0.9863,0.98,0.979232,62,95.56,99.47,3.91,10,2.19,0.4399,"[[95.56, 96.01], [96.17, 96.23], [96.39, 96.45], [96.74, 96.78], [96.89, 96.95], [97.27, 97.7], [97.79, 97.87], [97.98, 98.15], [98.23, 98.43], [98.83, 99.47]]",bird-mixit+tweetynet
