species_code,recording_id,safe_id,bout_idx,bout_onset,bout_offset,n_notes,cluster_id,cluster_prob
bkfbun2,ml:643676710,ml_643676710,15,48.06,56.06,1,5,1.0
bkfbun2,ml:640507369,ml_640507369,10,49.71,54.04,1,3,1.0
bkfbun2,ml:640507369,ml_640507369,12,56.95,63.64,1,3,1.0
bkfbun2,ml:640507369,ml_640507369,6,31.33,34.93,1,3,1.0
bkfbun2,ml:640507369,ml_640507369,2,8.05,14.61,1,3,1.0
bkfbun2,ml:640507369,ml_640507369,1,5.03,7.86,4,3,1.0
bkfbun2,ml:618704340,ml_618704340,2,9.22,9.51,1,9,1.0
bkfbun2,ml:620266782,ml_620266782,1,2.81,5.06,5,8,1.0
bkfbun2,ml:620266782,ml_620266782,4,7.86,8.33,2,8,1.0
bkfbun2,ml:620266782,ml_620266782,5,8.75,8.79,1,8,1.0
bkfbun2,ml:644573777,ml_644573777,0,0.02,0.29,1,6,1.0
bkfbun2,ml:644573777,ml_644573777,1,0.73,0.8,1,6,1.0
bkfbun2,ml:644573777,ml_644573777,2,1.36,4.85,15,6,1.0
bkfbun2,ml:618704340,ml_618704340,1,2.23,9.0,7,9,1.0
bkfbun2,ml:148116611,ml_148116611,10,22.57,22.79,1,7,1.0
bkfbun2,ml:643676710,ml_643676710,25,94.15,94.45,2,5,1.0
bkfbun2,ml:643676710,ml_643676710,26,94.89,97.13,5,5,1.0
bkfbun2,ml:460115891,ml_460115891,1,8.26,8.47,1,2,1.0
bkfbun2,ml:460115891,ml_460115891,0,0.02,7.99,19,2,1.0
bkfbun2,ml:460115891,ml_460115891,2,8.89,8.96,1,2,1.0
bkfbun2,ml:460115891,ml_460115891,3,9.19,13.32,10,2,1.0
bkfbun2,ml:640988362,ml_640988362,0,0.02,1.4,2,0,1.0
bkfbun2,ml:618704340,ml_618704340,3,9.74,10.04,1,9,1.0
bkfbun2,ml:634320120,ml_634320120,1,1.07,3.96,6,4,1.0
bkfbun2,ml:634320120,ml_634320120,2,4.44,6.34,3,4,1.0
bkfbun2,ml:640988362,ml_640988362,1,1.84,3.5,7,0,1.0
bkfbun2,ml:148116611,ml_148116611,11,23.48,24.16,2,7,1.0
bkhgul,xc:441030,xc_441030,38,75.13,80.92,7,10,1.0
bkhgul,xc:441030,xc_441030,46,103.43,111.29,10,10,1.0
bkhgul,xc:441030,xc_441030,97,269.26,269.59,1,10,1.0
bkhgul,xc:441030,xc_441030,98,270.06,274.72,7,10,1.0
bkhgul,xc:441030,xc_441030,162,462.54,469.01,2,10,1.0
bkhgul,xc:615791,xc_615791,2,3.14,10.63,2,9,1.0
bkhgul,xc:615791,xc_615791,3,10.84,15.3,5,9,1.0
bkhgul,xc:615791,xc_615791,4,15.62,16.44,1,9,1.0
bkhgul,xc:615791,xc_615791,5,17.02,22.7,4,9,1.0
bkhgul,xc:580794,xc_580794,17,53.62,57.84,1,3,1.0
bkhgul,xc:580794,xc_580794,18,58.0,62.69,2,3,1.0
bkhgul,xc:580794,xc_580794,19,62.84,67.11,2,3,1.0
bkhgul,xc:580794,xc_580794,20,67.44,70.48,2,3,1.0
bkhgul,xc:735929,xc_735929,0,0.02,1.01,3,0,1.0
bkhgul,xc:735929,xc_735929,1,1.55,1.99,1,0,1.0
bkhgul,xc:539616,xc_539616,0,0.08,1.25,3,8,1.0
bkhgul,xc:539616,xc_539616,1,1.35,8.4,8,8,1.0
bkhgul,xc:636478,xc_636478,3,16.68,24.68,1,2,1.0
bkhgul,xc:752720,xc_752720,0,0.02,4.82,11,1,1.0
bkhgul,xc:752720,xc_752720,1,5.32,9.0,7,1,1.0
bkhgul,xc:752720,xc_752720,2,9.25,12.82,5,1,1.0
bkhgul,xc:484460,xc_484460,1,5.21,12.69,8,4,1.0
bkhgul,xc:484460,xc_484460,2,12.9,13.93,2,4,1.0
bkhgul,xc:484460,xc_484460,3,14.17,14.44,1,4,1.0
bkhgul,xc:946675,xc_946675,0,0.94,1.12,1,6,1.0
bkhgul,xc:636478,xc_636478,2,8.68,16.68,1,2,1.0
bkhgul,xc:636478,xc_636478,1,0.68,8.68,1,2,1.0
bkhgul,xc:946675,xc_946675,2,3.54,3.6,1,6,1.0
bkhgul,xc:946675,xc_946675,1,1.76,1.99,1,6,1.0
bkhgul,xc:1050112,xc_1050112,1,0.72,8.72,1,7,1.0
bkhgul,xc:1050112,xc_1050112,2,8.72,9.25,1,7,1.0
bktgul,xc:839073,xc_839073,25,46.52,46.88,1,10,1.0
bktgul,xc:839073,xc_839073,26,47.48,48.25,2,10,1.0
bktgul,xc:839073,xc_839073,27,49.12,49.36,1,10,1.0
bktgul,xc:839073,xc_839073,35,59.83,60.19,1,10,1.0
bktgul,xc:839073,xc_839073,36,60.74,61.1,1,10,1.0
bktgul,xc:1008519,xc_1008519,16,53.47,56.39,5,6,1.0
bktgul,xc:1008519,xc_1008519,2,9.27,15.73,9,6,1.0
bktgul,xc:1008519,xc_1008519,18,58.15,65.34,14,6,1.0
bktgul,xc:1002546,xc_1002546,6,7.22,7.33,1,1,1.0
bktgul,xc:1008519,xc_1008519,33,122.56,123.65,2,6,1.0
bktgul,xc:1008519,xc_1008519,32,120.11,122.36,2,6,1.0
bktgul,xc:344933,xc_344933,1,0.33,0.37,1,2,1.0
bktgul,xc:344933,xc_344933,2,1.32,1.56,1,2,1.0
bktgul,xc:627390,xc_627390,3,10.89,12.93,8,8,1.0
bktgul,xc:627390,xc_627390,10,33.82,34.28,1,8,1.0
bktgul,xc:840768,xc_840768,39,91.94,92.8,1,7,1.0
bktgul,xc:840768,xc_840768,41,100.45,106.58,7,7,1.0
bktgul,xc:1002546,xc_1002546,7,7.97,8.3,1,1,1.0
bktgul,xc:1002546,xc_1002546,10,13.54,13.92,1,1,1.0
bktgul,xc:1002546,xc_1002546,11,14.64,14.95,1,1,1.0
bktgul,xc:1002546,xc_1002546,12,16.23,16.54,1,1,1.0
bktgul,xc:464604,xc_464604,6,24.91,31.36,8,9,1.0
bktgul,xc:464604,xc_464604,8,34.87,34.95,1,9,1.0
bktgul,xc:464604,xc_464604,10,37.58,40.27,5,9,1.0
bktgul,xc:464604,xc_464604,11,40.69,43.82,7,9,1.0
bktgul,xc:464604,xc_464604,14,49.74,57.38,13,9,1.0
bktgul,xc:344933,xc_344933,0,0.02,0.09,1,2,1.0
bktgul,xc:840768,xc_840768,20,41.66,48.12,8,5,1.0
bktgul,xc:840768,xc_840768,21,48.54,48.7,1,5,1.0
bktgul,xc:892290,xc_892290,5,8.27,8.61,1,4,1.0
bktgul,xc:892290,xc_892290,6,10.18,10.65,2,4,1.0
bktgul,xc:344932,xc_344932,2,3.28,3.72,1,3,1.0
bktgul,xc:344932,xc_344932,3,5.37,6.28,2,3,1.0
bktgul,xc:1016634,xc_1016634,0,0.27,4.32,5,0,1.0
bktgul,xc:1016634,xc_1016634,1,4.61,12.25,6,0,1.0
bktgul,xc:840768,xc_840768,29,67.37,74.68,4,11,1.0
blakit1,xc:139768,xc_139768,11,46.46,52.06,8,5,1.0
blakit1,xc:139768,xc_139768,17,68.86,76.07,4,5,1.0
blakit1,xc:139768,xc_139768,26,106.43,109.74,2,5,1.0
blakit1,xc:139768,xc_139768,27,111.3,114.87,2,5,1.0
blakit1,xc:139768,xc_139768,28,115.3,118.53,1,5,1.0
blakit1,xc:807584,xc_807584,7,11.06,11.24,2,1,1.0
blakit1,xc:807584,xc_807584,8,12.98,14.41,3,1,1.0
blakit1,xc:807584,xc_807584,19,36.01,37.23,3,1,1.0
blakit1,xc:807584,xc_807584,21,40.45,40.51,1,1,1.0
blakit1,xc:807584,xc_807584,18,34.01,34.04,1,1,1.0
blakit1,xc:309401,xc_309401,5,31.2,31.27,1,7,1.0
blakit1,xc:309401,xc_309401,4,23.94,31.03,3,7,1.0
blakit1,xc:309401,xc_309401,2,15.74,21.32,2,7,1.0
blakit1,xc:1026906,xc_1026906,24,61.42,63.64,2,6,1.0
blakit1,xc:1026906,xc_1026906,26,66.3,69.9,3,6,1.0
blakit1,xc:994865,xc_994865,1,2.75,3.47,2,0,1.0
blakit1,xc:994865,xc_994865,2,4.59,6.47,6,0,1.0
blakit1,xc:309401,xc_309401,6,31.47,31.66,1,7,1.0
blakit1,xc:309401,xc_309401,7,32.27,32.83,1,7,1.0
blakit1,xc:578427,xc_578427,0,0.08,8.05,6,2,1.0
blakit1,xc:578427,xc_578427,2,14.21,14.88,1,2,1.0
blakit1,xc:578427,xc_578427,3,15.28,16.26,2,2,1.0
blakit1,xc:578427,xc_578427,7,22.24,26.42,8,2,1.0
blakit1,xc:578427,xc_578427,10,31.0,32.93,2,2,1.0
blakit1,xc:1026906,xc_1026906,0,0.02,8.0,7,6,1.0
blakit1,xc:1026906,xc_1026906,13,45.28,48.52,3,6,1.0
blakit1,xc:1026906,xc_1026906,23,59.58,60.73,2,6,1.0
blakit1,xc:493737,xc_493737,21,62.87,63.55,2,9,1.0
blakit1,xc:994865,xc_994865,5,12.97,19.21,18,0,1.0
blakit1,xc:994865,xc_994865,7,21.15,23.06,6,0,1.0
blakit1,xc:493737,xc_493737,10,33.9,35.24,3,9,1.0
blakit1,xc:493737,xc_493737,20,60.94,61.53,2,9,1.0
blakit1,xc:493737,xc_493737,13,43.13,46.32,5,8,1.0
blakit1,xc:493737,xc_493737,14,47.52,47.56,1,8,1.0
blakit1,xc:192707,xc_192707,2,9.0,11.17,5,3,1.0
brebul1,xc:200439,xc_200439,15,43.46,46.05,3,7,1.0
brebul1,xc:200439,xc_200439,16,46.5,48.21,3,7,1.0
brebul1,xc:200439,xc_200439,17,48.6,55.15,7,7,1.0
brebul1,xc:200439,xc_200439,18,55.51,60.91,8,7,1.0
brebul1,xc:200439,xc_200439,19,61.24,65.13,6,7,1.0
brebul1,xc:834175,xc_834175,20,47.3,48.38,2,1,1.0
brebul1,xc:834175,xc_834175,21,49.29,49.44,1,1,1.0
brebul1,xc:464610,xc_464610,2,5.03,8.54,5,3,1.0
brebul1,xc:834175,xc_834175,30,64.99,65.61,1,1,1.0
brebul1,xc:834175,xc_834175,29,64.35,64.39,1,1,1.0
brebul1,xc:834175,xc_834175,28,62.39,63.63,1,1,1.0
brebul1,xc:401344,xc_401344,11,23.06,23.25,1,8,1.0
brebul1,xc:401344,xc_401344,14,29.01,29.2,1,8,1.0
brebul1,xc:155867,xc_155867,0,0.02,0.32,1,2,1.0
brebul1,xc:155867,xc_155867,1,0.72,8.4,12,2,1.0
brebul1,xc:155867,xc_155867,2,8.81,9.13,1,2,1.0
brebul1,xc:155867,xc_155867,3,9.56,13.06,5,2,1.0
brebul1,xc:464610,xc_464610,3,9.76,15.92,5,3,1.0
brebul1,xc:464610,xc_464610,8,20.7,23.5,4,3,1.0
brebul1,xc:464610,xc_464610,9,23.95,27.76,7,3,1.0
brebul1,xc:464610,xc_464610,10,28.37,28.42,1,3,1.0
brebul1,xc:401344,xc_401344,7,18.13,18.93,2,8,1.0
brebul1,xc:401344,xc_401344,8,20.2,20.49,1,8,1.0
brebul1,xc:401344,xc_401344,9,21.37,21.4,1,8,1.0
brebul1,xc:551615,xc_551615,6,20.31,27.98,21,0,1.0
brebul1,xc:578805,xc_578805,5,13.18,19.32,5,6,1.0
brebul1,xc:578805,xc_578805,6,19.93,20.01,1,6,1.0
brebul1,xc:578805,xc_578805,7,20.35,20.49,1,6,1.0
brebul1,xc:578805,xc_578805,0,0.02,3.12,2,5,1.0
brebul1,xc:578805,xc_578805,1,3.75,3.78,1,5,1.0
brebul1,xc:551615,xc_551615,2,5.14,8.7,8,0,1.0
brebul1,xc:551615,xc_551615,3,9.68,10.47,2,0,1.0
buhshr1,xc:1052423,xc_1052423,4,3.94,4.04,1,0,1.0
buhshr1,xc:1052423,xc_1052423,5,4.43,4.9,2,0,1.0
buhshr1,xc:1052423,xc_1052423,8,8.62,8.73,1,0,1.0
buhshr1,xc:1052423,xc_1052423,9,9.22,9.34,1,0,1.0
buhshr1,xc:1052423,xc_1052423,10,9.84,9.96,1,0,1.0
buhshr1,xc:793918,xc_793918,0,0.02,2.99,3,10,1.0
buhshr1,xc:793918,xc_793918,1,4.17,4.23,1,10,1.0
buhshr1,xc:793918,xc_793918,3,7.41,7.47,1,10,1.0
buhshr1,xc:793918,xc_793918,4,8.26,9.87,1,10,1.0
buhshr1,xc:793918,xc_793918,5,11.16,12.07,1,10,1.0
buhshr1,xc:841025,xc_841025,5,7.31,7.47,1,4,1.0
buhshr1,xc:841025,xc_841025,6,8.2,8.39,1,4,1.0
buhshr1,xc:841025,xc_841025,7,9.37,9.58,1,4,1.0
buhshr1,xc:841025,xc_841025,8,10.05,10.76,2,4,1.0
buhshr1,xc:841025,xc_841025,9,11.29,11.46,1,4,1.0
buhshr1,xc:762423,xc_762423,4,11.67,17.46,6,7,1.0
buhshr1,xc:762423,xc_762423,5,18.52,20.43,1,7,1.0
buhshr1,xc:762423,xc_762423,6,21.22,23.87,1,7,1.0
buhshr1,xc:762423,xc_762423,7,24.93,26.45,1,7,1.0
buhshr1,xc:762423,xc_762423,8,27.31,29.03,1,7,1.0
buhshr1,xc:794803,xc_794803,0,0.02,6.55,3,8,1.0
buhshr1,xc:794803,xc_794803,1,7.42,8.59,1,8,1.0
buhshr1,xc:794803,xc_794803,2,9.68,10.93,2,8,1.0
buhshr1,xc:794803,xc_794803,3,11.69,12.6,1,8,1.0
buhshr1,xc:794803,xc_794803,5,20.24,21.33,1,8,1.0
buhshr1,xc:842854,xc_842854,0,0.66,8.66,1,1,1.0
buhshr1,xc:842854,xc_842854,1,8.66,10.27,1,1,1.0
buhshr1,xc:842854,xc_842854,5,17.52,17.75,2,1,1.0
buhshr1,xc:842854,xc_842854,6,18.62,18.67,1,1,1.0
buhshr1,xc:260142,xc_260142,0,0.02,0.48,1,3,1.0
buhshr1,xc:260142,xc_260142,1,1.02,4.52,5,3,1.0
buhshr1,xc:260142,xc_260142,2,4.94,10.58,3,3,1.0
buhshr1,xc:260142,xc_260142,4,14.16,15.3,4,3,1.0
buhshr1,xc:954180,xc_954180,0,0.02,0.78,2,2,1.0
buhshr1,xc:954180,xc_954180,1,1.27,1.93,2,2,1.0
buhshr1,xc:954180,xc_954180,2,2.44,2.58,1,2,1.0
buhshr1,xc:194693,xc_194693,0,0.02,5.23,9,5,1.0
buhshr1,xc:194693,xc_194693,1,5.7,6.75,2,5,1.0
buhshr1,xc:194693,xc_194693,2,7.33,12.55,9,5,1.0
buhshr1,xc:793925,xc_793925,0,0.02,0.43,1,9,1.0
buhshr1,xc:793925,xc_793925,1,1.89,2.16,2,9,1.0
buhshr1,xc:793925,xc_793925,2,3.51,7.25,1,9,1.0
buhshr1,xc:661928,xc_661928,1,6.74,8.64,1,6,1.0
buhshr1,xc:661928,xc_661928,2,12.86,15.42,3,6,1.0
buhshr1,xc:661928,xc_661928,3,17.59,18.58,1,6,1.0
burthr,xc:134330,xc_134330,7,9.15,9.2,1,13,1.0
burthr,xc:134330,xc_134330,8,9.7,10.58,5,13,1.0
burthr,xc:134330,xc_134330,12,17.83,18.44,3,13,1.0
burthr,xc:134330,xc_134330,13,18.95,19.65,2,13,1.0
burthr,xc:134330,xc_134330,14,21.69,21.78,1,13,1.0
burthr,xc:417711,xc_417711,7,27.57,30.4,3,6,1.0
burthr,xc:417711,xc_417711,13,43.44,50.97,2,6,1.0
burthr,xc:417711,xc_417711,16,59.53,61.43,3,6,1.0
burthr,xc:417711,xc_417711,17,62.13,69.95,7,6,1.0
burthr,xc:417711,xc_417711,20,77.57,84.45,4,6,1.0
burthr,xc:743862,xc_743862,2,5.44,10.5,5,8,1.0
burthr,xc:743862,xc_743862,3,10.93,11.04,1,8,1.0
burthr,xc:743862,xc_743862,4,12.09,12.13,1,8,1.0
burthr,xc:743862,xc_743862,5,14.26,16.91,9,8,1.0
burthr,xc:743862,xc_743862,6,17.4,17.75,2,8,1.0
burthr,xc:916327,xc_916327,46,115.95,117.35,3,10,1.0
burthr,xc:916327,xc_916327,47,117.79,119.21,5,10,1.0
burthr,xc:916327,xc_916327,50,125.33,125.43,1,10,1.0
burthr,xc:916327,xc_916327,55,141.36,142.13,4,10,1.0
burthr,xc:916327,xc_916327,56,142.99,146.91,10,10,1.0
burthr,xc:310120,xc_310120,5,18.52,26.19,7,5,1.0
burthr,xc:310120,xc_310120,10,40.95,47.36,5,5,1.0
burthr,xc:310120,xc_310120,14,57.78,60.14,4,5,1.0
burthr,xc:472199,xc_472199,2,3.42,11.41,18,0,1.0
burthr,xc:472199,xc_472199,3,11.91,13.99,5,0,1.0
burthr,xc:472199,xc_472199,6,23.57,29.67,12,0,1.0
burthr,xc:134325,xc_134325,3,4.9,12.9,1,14,1.0
burthr,xc:134325,xc_134325,4,12.9,20.9,1,14,1.0
burthr,xc:134325,xc_134325,5,20.9,28.9,1,14,1.0
burthr,xc:972364,xc_972364,0,0.03,0.12,1,1,1.0
burthr,xc:972364,xc_972364,1,0.89,1.49,2,1,1.0
burthr,xc:972364,xc_972364,2,2.61,2.87,1,1,1.0
burthr,xc:1023727,xc_1023727,9,33.41,36.33,4,7,1.0
burthr,xc:1023727,xc_1023727,10,37.02,37.12,1,7,1.0
burthr,xc:1023727,xc_1023727,11,37.49,37.56,1,7,1.0
burthr,xc:480601,xc_480601,0,0.02,0.08,1,4,1.0
burthr,xc:480601,xc_480601,1,1.09,2.02,3,4,1.0
burthr,xc:474444,xc_474444,1,5.84,8.7,1,11,1.0
burthr,xc:474444,xc_474444,2,8.84,9.04,1,11,1.0
burthr,xc:411661,xc_411661,0,0.65,0.68,1,2,1.0
burthr,xc:411661,xc_411661,1,1.49,4.63,5,2,1.0
burthr,xc:1063823,xc_1063823,0,0.02,2.05,7,3,1.0
burthr,xc:1063823,xc_1063823,1,3.02,4.03,4,3,1.0
burthr,xc:473669,xc_473669,0,0.88,2.74,1,12,1.0
burthr,xc:473669,xc_473669,3,11.01,12.76,1,12,1.0
carcro1,xc:138017,xc_138017,8,25.81,33.81,1,0,1.0
carcro1,xc:138017,xc_138017,10,34.42,42.42,1,0,1.0
carcro1,xc:138017,xc_138017,14,54.59,60.63,1,0,1.0
carcro1,xc:138017,xc_138017,15,61.15,66.54,3,0,1.0
carcro1,xc:138017,xc_138017,18,68.77,76.42,3,0,1.0
carcro1,xc:745101,xc_745101,5,19.89,20.07,1,8,1.0
carcro1,xc:745101,xc_745101,17,47.23,47.74,2,8,1.0
carcro1,xc:745101,xc_745101,25,63.0,66.35,9,8,1.0
carcro1,xc:745101,xc_745101,18,48.33,52.16,12,8,1.0
carcro1,xc:745101,xc_745101,19,53.24,53.27,1,8,1.0
carcro1,xc:490186,xc_490186,7,19.14,19.74,1,6,1.0
carcro1,xc:490186,xc_490186,6,18.67,19.07,1,6,1.0
carcro1,xc:556994,xc_556994,0,0.23,1.58,2,3,1.0
carcro1,xc:490186,xc_490186,8,20.26,21.76,2,6,1.0
carcro1,xc:490186,xc_490186,9,22.38,22.88,1,6,1.0
carcro1,xc:490186,xc_490186,10,23.98,26.42,1,6,1.0
carcro1,xc:936225,xc_936225,0,0.85,2.3,3,6,1.0
carcro1,xc:936225,xc_936225,1,3.33,3.73,3,6,1.0
carcro1,xc:1010253,xc_1010253,0,0.02,1.77,3,5,1.0
carcro1,xc:576943,xc_576943,1,2.55,5.5,5,5,1.0
carcro1,xc:576943,xc_576943,5,14.59,15.17,1,5,1.0
carcro1,xc:576943,xc_576943,6,15.72,17.11,2,5,1.0
carcro1,xc:576943,xc_576943,7,18.15,18.66,1,5,1.0
carcro1,xc:556994,xc_556994,24,38.3,38.42,1,4,1.0
carcro1,xc:556994,xc_556994,26,41.11,41.15,1,4,1.0
carcro1,xc:556994,xc_556994,1,3.79,3.85,1,3,1.0
carcro1,xc:556994,xc_556994,2,4.04,4.1,1,3,1.0
cintit13,xc:582929,xc_582929,9,24.89,31.41,7,4,1.0
cintit13,xc:582929,xc_582929,10,31.91,33.55,2,4,1.0
cintit13,xc:582929,xc_582929,11,34.31,37.44,3,4,1.0
cintit13,xc:582929,xc_582929,12,38.12,43.19,5,4,1.0
cintit13,xc:582929,xc_582929,13,43.6,51.09,6,4,1.0
cintit13,xc:889843,xc_889843,3,4.21,4.71,1,14,1.0
cintit13,xc:889843,xc_889843,4,5.12,5.19,1,14,1.0
cintit13,xc:889843,xc_889843,5,5.77,7.21,4,14,1.0
cintit13,xc:889843,xc_889843,6,7.81,7.92,1,14,1.0
cintit13,xc:889843,xc_889843,7,8.24,8.32,1,14,1.0
cintit13,xc:777400,xc_777400,9,19.22,23.61,1,7,1.0
cintit13,xc:777400,xc_777400,11,26.89,30.81,1,7,1.0
cintit13,xc:777400,xc_777400,13,32.01,36.54,7,7,1.0
cintit13,xc:777400,xc_777400,15,39.18,43.08,1,7,1.0
cintit13,xc:777400,xc_777400,16,43.71,44.23,2,7,1.0
cintit13,xc:241629,xc_241629,0,0.16,2.1,2,3,1.0
cintit13,xc:241629,xc_241629,1,4.23,5.59,1,3,1.0
cintit13,xc:241629,xc_241629,2,6.11,6.16,1,3,1.0
cintit13,xc:241629,xc_241629,9,16.55,16.75,1,3,1.0
cintit13,xc:319792,xc_319792,2,6.52,7.73,2,11,1.0
cintit13,xc:319792,xc_319792,4,11.06,11.7,2,11,1.0
cintit13,xc:319792,xc_319792,5,12.36,13.33,2,11,1.0
cintit13,xc:78429,xc_78429,2,3.24,3.85,2,2,1.0
cintit13,xc:78429,xc_78429,3,5.54,7.77,5,2,1.0
cintit13,xc:78429,xc_78429,7,14.64,14.89,1,2,1.0
