species_code,recording_id,safe_id,note_idx,onset,offset,method,rms_denoised,rms_original,snr_improvement,duration,rms_rank
azwmag2,xc:729860,xc_729860,8,0.0,0.31,biodenoising,,,,,
azwmag2,xc:733333,xc_733333,4,0.0,1.06,biodenoising,,,,,
azwmag2,xc:733333,xc_733333,5,0.0,0.99,biodenoising,,,,,
azwmag2,xc:733333,xc_733333,12,0.0,0.97,biodenoising,,,,,
azwmag2,xc:733333,xc_733333,13,0.0,0.79,biodenoising,,,,,
azwmag2,xc:733333,xc_733333,14,0.0,1.05,biodenoising,,,,,
azwmag2,xc:762197,xc_762197,17,0.0,0.43,biodenoising,,,,,
azwmag2,xc:762197,xc_762197,40,0.0,0.36,biodenoising,,,,,
azwmag2,xc:762197,xc_762197,41,0.0,0.34,biodenoising,,,,,
azwmag2,xc:766304,xc_766304,2,0.0,0.5,biodenoising,,,,,
azwmag2,xc:766304,xc_766304,3,0.0,0.23,biodenoising,,,,,
azwmag2,xc:766304,xc_766304,5,0.0,0.27,biodenoising,,,,,
azwmag2,xc:766304,xc_766304,6,0.0,0.15,biodenoising,,,,,
azwmag2,xc:766304,xc_766304,35,0.0,0.13,biodenoising,,,,,
azwmag2,xc:784889,xc_784889,3,0.0,4.56,biodenoising,,,,,
azwmag2,xc:790248,xc_790248,7,0.0,0.59,biodenoising,,,,,
azwmag2,xc:790248,xc_790248,9,0.0,0.51,biodenoising,,,,,
azwmag2,xc:790248,xc_790248,13,0.0,0.55,biodenoising,,,,,
azwmag2,xc:790248,xc_790248,14,0.0,0.56,biodenoising,,,,,
azwmag2,xc:790248,xc_790248,17,0.0,0.55,biodenoising,,,,,
azwmag2,xc:790250,xc_790250,0,0.0,1.14,biodenoising,,,,,
azwmag2,xc:790250,xc_790250,1,0.0,1.2,biodenoising,,,,,
azwmag2,xc:790250,xc_790250,2,0.0,1.26,biodenoising,,,,,
azwmag2,xc:820038,xc_820038,0,0.0,3.56,biodenoising,,,,,
azwmag2,xc:820038,xc_820038,7,0.0,2.41,biodenoising,,,,,
azwmag2,xc:820038,xc_820038,8,0.0,4.02,biodenoising,,,,,
azwmag2,xc:820038,xc_820038,9,0.0,1.11,biodenoising,,,,,
azwmag2,xc:906845,xc_906845,3,0.0,0.88,biodenoising,,,,,
azwmag2,xc:906845,xc_906845,6,0.0,0.59,biodenoising,,,,,
barswa,xc:1042324,xc_1042324,6,0.0,0.22,biodenoising,,,,,
barswa,xc:1042324,xc_1042324,7,0.0,0.22,biodenoising,,,,,
barswa,xc:123035,xc_123035,5,0.0,0.82,biodenoising,,,,,
barswa,xc:123035,xc_123035,14,0.0,0.83,biodenoising,,,,,
barswa,xc:123035,xc_123035,25,0.0,0.82,biodenoising,,,,,
barswa,xc:123035,xc_123035,72,0.0,0.82,biodenoising,,,,,
barswa,xc:123035,xc_123035,124,0.0,0.84,biodenoising,,,,,
barswa,xc:142731,xc_142731,0,0.0,8.0,biodenoising,,,,,
barswa,xc:142731,xc_142731,1,0.0,0.86,biodenoising,,,,,
barswa,xc:142731,xc_142731,7,0.0,8.0,biodenoising,,,,,
barswa,xc:142731,xc_142731,8,0.0,1.47,biodenoising,,,,,
barswa,xc:142731,xc_142731,9,0.0,3.68,biodenoising,,,,,
barswa,xc:197400,xc_197400,0,0.0,0.9,biodenoising,,,,,
barswa,xc:197400,xc_197400,19,0.0,0.26,biodenoising,,,,,
barswa,xc:197400,xc_197400,33,0.0,0.38,biodenoising,,,,,
barswa,xc:197400,xc_197400,47,0.0,0.86,biodenoising,,,,,
barswa,xc:197400,xc_197400,79,0.0,0.34,biodenoising,,,,,
barswa,xc:578054,xc_578054,3,0.0,3.13,biodenoising,,,,,
barswa,xc:677842,xc_677842,10,0.0,0.46,biodenoising,,,,,
barswa,xc:677842,xc_677842,13,0.0,0.55,biodenoising,,,,,
barswa,xc:677842,xc_677842,20,0.0,0.36,biodenoising,,,,,
barswa,xc:677842,xc_677842,23,0.0,0.22,biodenoising,,,,,
barswa,xc:677842,xc_677842,24,0.0,3.74,biodenoising,,,,,
barswa,xc:721365,xc_721365,10,0.0,2.97,biodenoising,,,,,
barswa,xc:919230,xc_919230,7,0.0,0.19,biodenoising,,,,,
barswa,xc:919230,xc_919230,10,0.0,0.18,biodenoising,,,,,
barswa,xc:919230,xc_919230,15,0.0,0.19,biodenoising,,,,,
barswa,xc:919230,xc_919230,28,0.0,0.19,biodenoising,,,,,
barswa,xc:919230,xc_919230,50,0.0,1.83,biodenoising,,,,,
bkfbun2,ml:460115891,ml_460115891,16,0.0,0.95,biodenoising,,,,,
bkfbun2,ml:460115891,ml_460115891,50,0.0,0.21,biodenoising,,,,,
bkfbun2,ml:460115891,ml_460115891,51,0.0,0.8,biodenoising,,,,,
bkfbun2,ml:460115891,ml_460115891,52,0.0,0.91,biodenoising,,,,,
bkfbun2,ml:460115891,ml_460115891,83,0.0,0.63,biodenoising,,,,,
bkfbun2,ml:618203252,ml_618203252,0,0.0,3.35,biodenoising,,,,,
bkfbun2,ml:618203252,ml_618203252,6,0.0,3.23,biodenoising,,,,,
bkfbun2,ml:618203252,ml_618203252,9,0.0,3.11,biodenoising,,,,,
bkfbun2,ml:618203252,ml_618203252,11,0.0,1.81,biodenoising,,,,,
bkfbun2,ml:618704340,ml_618704340,0,0.0,0.6,biodenoising,,,,,
bkfbun2,ml:618704340,ml_618704340,6,0.0,0.66,biodenoising,,,,,
bkfbun2,ml:618704340,ml_618704340,7,0.0,3.11,biodenoising,,,,,
bkfbun2,ml:618704340,ml_618704340,8,0.0,0.48,biodenoising,,,,,
bkfbun2,ml:618704340,ml_618704340,10,0.0,1.39,biodenoising,,,,,
bkfbun2,ml:620266782,ml_620266782,7,0.0,0.28,biodenoising,,,,,
bkfbun2,ml:620266782,ml_620266782,18,0.0,0.25,biodenoising,,,,,
bkfbun2,ml:620266782,ml_620266782,31,0.0,0.15,biodenoising,,,,,
bkfbun2,ml:620266783,ml_620266783,0,0.0,0.1,biodenoising,,,,,
bkfbun2,ml:620881189,ml_620881189,1,0.0,1.79,biodenoising,,,,,
bkfbun2,ml:620881189,ml_620881189,3,0.0,2.31,biodenoising,,,,,
bkfbun2,ml:620881189,ml_620881189,6,0.0,0.44,biodenoising,,,,,
bkfbun2,ml:620881189,ml_620881189,7,0.0,0.91,biodenoising,,,,,
bkfbun2,ml:634320120,ml_634320120,1,0.0,0.2,biodenoising,,,,,
bkfbun2,ml:634320120,ml_634320120,4,0.0,0.28,biodenoising,,,,,
bkfbun2,ml:634320120,ml_634320120,7,0.0,0.83,biodenoising,,,,,
bkfbun2,ml:634320120,ml_634320120,8,0.0,0.3,biodenoising,,,,,
bkfbun2,ml:634320120,ml_634320120,9,0.0,0.38,biodenoising,,,,,
bkfbun2,ml:635667093,ml_635667093,0,0.0,0.27,biodenoising,,,,,
bkfbun2,ml:635667093,ml_635667093,1,0.0,0.42,biodenoising,,,,,
bkfbun2,ml:635667093,ml_635667093,7,0.0,0.1,biodenoising,,,,,
bkfbun2,ml:635667093,ml_635667093,8,0.0,0.48,biodenoising,,,,,
bkfbun2,ml:635667093,ml_635667093,12,0.0,0.29,biodenoising,,,,,
bkfbun2,ml:637612944,ml_637612944,16,0.0,2.48,biodenoising,,,,,
bkfbun2,ml:637812780,ml_637812780,1,0.0,1.59,biodenoising,,,,,
bkfbun2,ml:637812780,ml_637812780,20,0.0,1.58,biodenoising,,,,,
bkfbun2,ml:637812780,ml_637812780,32,0.0,0.4,biodenoising,,,,,
bkfbun2,ml:637812780,ml_637812780,33,0.0,1.53,biodenoising,,,,,
bkfbun2,ml:638925272,ml_638925272,2,0.0,1.34,biodenoising,,,,,
bkfbun2,ml:638925272,ml_638925272,9,0.0,0.16,biodenoising,,,,,
bkfbun2,ml:640507294,ml_640507294,0,0.0,8.0,biodenoising,,,,,
bkfbun2,ml:640507294,ml_640507294,1,0.0,0.9,biodenoising,,,,,
bkfbun2,ml:640507369,ml_640507369,9,0.0,3.89,biodenoising,,,,,
bkfbun2,ml:640507369,ml_640507369,10,0.0,6.24,biodenoising,,,,,
bkfbun2,ml:640507369,ml_640507369,12,0.0,3.6,biodenoising,,,,,
bkfbun2,ml:640507369,ml_640507369,18,0.0,4.33,biodenoising,,,,,
bkfbun2,ml:640507369,ml_640507369,26,0.0,4.18,biodenoising,,,,,
bkfbun2,ml:640988362,ml_640988362,1,0.0,1.04,biodenoising,,,,,
bkfbun2,ml:640988362,ml_640988362,10,0.0,1.05,biodenoising,,,,,
bkfbun2,ml:640988362,ml_640988362,18,0.0,0.12,biodenoising,,,,,
bkfbun2,ml:640988362,ml_640988362,38,0.0,0.75,biodenoising,,,,,
bkfbun2,ml:640988362,ml_640988362,45,0.0,0.64,biodenoising,,,,,
bkfbun2,ml:643676710,ml_643676710,7,0.0,0.94,biodenoising,,,,,
bkfbun2,ml:643676710,ml_643676710,52,0.0,2.26,biodenoising,,,,,
bkfbun2,ml:643676710,ml_643676710,55,0.0,0.54,biodenoising,,,,,
bkfbun2,ml:643676710,ml_643676710,57,0.0,1.0,biodenoising,,,,,
bkfbun2,ml:643676710,ml_643676710,93,0.0,0.36,biodenoising,,,,,
bkhgul,xc:1011216,xc_1011216,0,0.0,5.5,biodenoising,,,,,
bkhgul,xc:1011216,xc_1011216,1,0.0,2.93,biodenoising,,,,,
bkhgul,xc:1011216,xc_1011216,2,0.0,0.83,biodenoising,,,,,
bkhgul,xc:1011216,xc_1011216,11,0.0,0.8,biodenoising,,,,,
bkhgul,xc:1011216,xc_1011216,12,0.0,1.14,biodenoising,,,,,
bkhgul,xc:1065402,xc_1065402,0,0.0,0.45,biodenoising,,,,,
bkhgul,xc:1065402,xc_1065402,1,0.0,0.52,biodenoising,,,,,
bkhgul,xc:1065402,xc_1065402,8,0.0,0.63,biodenoising,,,,,
bkhgul,xc:1065402,xc_1065402,13,0.0,0.46,biodenoising,,,,,
bkhgul,xc:1065402,xc_1065402,14,0.0,1.16,biodenoising,,,,,
bkhgul,xc:441030,xc_441030,19,0.0,0.12,biodenoising,,,,,
bkhgul,xc:441030,xc_441030,496,0.0,0.09,biodenoising,,,,,
bkhgul,xc:441030,xc_441030,720,0.0,0.06,biodenoising,,,,,
bkhgul,xc:441030,xc_441030,852,0.0,0.45,biodenoising,,,,,
bkhgul,xc:441030,xc_441030,855,0.0,0.17,biodenoising,,,,,
bkhgul,xc:525320,xc_525320,0,0.0,1.26,biodenoising,,,,,
bkhgul,xc:525320,xc_525320,1,0.0,1.38,biodenoising,,,,,
bkhgul,xc:525320,xc_525320,5,0.0,1.3,biodenoising,,,,,
bkhgul,xc:525320,xc_525320,6,0.0,1.23,biodenoising,,,,,
bkhgul,xc:525320,xc_525320,7,0.0,1.12,biodenoising,,,,,
bkhgul,xc:539616,xc_539616,4,0.0,0.52,biodenoising,,,,,
bkhgul,xc:539616,xc_539616,8,0.0,1.63,biodenoising,,,,,
bkhgul,xc:539616,xc_539616,10,0.0,2.03,biodenoising,,,,,
bkhgul,xc:539616,xc_539616,12,0.0,2.31,biodenoising,,,,,
bkhgul,xc:539616,xc_539616,19,0.0,3.19,biodenoising,,,,,
bkhgul,xc:580794,xc_580794,38,0.0,2.85,biodenoising,,,,,
bkhgul,xc:580794,xc_580794,43,0.0,1.18,biodenoising,,,,,
bkhgul,xc:580794,xc_580794,45,0.0,1.34,biodenoising,,,,,
bkhgul,xc:580794,xc_580794,47,0.0,1.21,biodenoising,,,,,
bkhgul,xc:580794,xc_580794,69,0.0,1.38,biodenoising,,,,,
bkhgul,xc:615791,xc_615791,13,0.0,0.82,biodenoising,,,,,
bkhgul,xc:615791,xc_615791,16,0.0,1.1,biodenoising,,,,,
bkhgul,xc:615791,xc_615791,17,0.0,3.32,biodenoising,,,,,
bkhgul,xc:615791,xc_615791,18,0.0,1.29,biodenoising,,,,,
bkhgul,xc:615791,xc_615791,19,0.0,1.88,biodenoising,,,,,
bkhgul,xc:655838,xc_655838,0,0.0,4.11,biodenoising,,,,,
bkhgul,xc:655838,xc_655838,1,0.0,8.0,biodenoising,,,,,
bkhgul,xc:655838,xc_655838,2,0.0,8.0,biodenoising,,,,,
bkhgul,xc:655838,xc_655838,4,0.0,7.99,biodenoising,,,,,
bkhgul,xc:752720,xc_752720,60,0.0,0.37,biodenoising,,,,,
bkhgul,xc:854813,xc_854813,8,0.0,1.46,biodenoising,,,,,
bkhgul,xc:854813,xc_854813,9,0.0,1.3,biodenoising,,,,,
bkhgul,xc:854813,xc_854813,10,0.0,1.09,biodenoising,,,,,
bkhgul,xc:854813,xc_854813,12,0.0,0.94,biodenoising,,,,,
bkhgul,xc:854813,xc_854813,27,0.0,0.67,biodenoising,,,,,
bkhgul,xc:94182,xc_94182,6,0.0,0.74,biodenoising,,,,,
bkhgul,xc:946675,xc_946675,4,0.0,0.07,biodenoising,,,,,
bkhgul,xc:946675,xc_946675,18,0.0,0.12,biodenoising,,,,,
bkhgul,xc:946675,xc_946675,19,0.0,0.09,biodenoising,,,,,
bkhgul,xc:946675,xc_946675,21,0.0,0.54,biodenoising,,,,,
bkhgul,xc:984595,xc_984595,2,0.0,0.16,biodenoising,,,,,
bkhgul,xc:984595,xc_984595,3,0.0,0.1,biodenoising,,,,,
bktgul,xc:1002546,xc_1002546,3,0.0,0.28,biodenoising,,,,,
bktgul,xc:1002546,xc_1002546,16,0.0,0.33,biodenoising,,,,,
bktgul,xc:1002546,xc_1002546,25,0.0,0.34,biodenoising,,,,,
bktgul,xc:1008519,xc_1008519,72,0.0,0.61,biodenoising,,,,,
bktgul,xc:1008519,xc_1008519,76,0.0,0.51,biodenoising,,,,,
bktgul,xc:1008519,xc_1008519,102,0.0,1.42,biodenoising,,,,,
bktgul,xc:1008519,xc_1008519,131,0.0,0.51,biodenoising,,,,,
bktgul,xc:1008519,xc_1008519,174,0.0,1.41,biodenoising,,,,,
bktgul,xc:1016634,xc_1016634,4,0.0,0.45,biodenoising,,,,,
bktgul,xc:1016634,xc_1016634,21,0.0,0.85,biodenoising,,,,,
bktgul,xc:1016634,xc_1016634,22,0.0,0.91,biodenoising,,,,,
bktgul,xc:1016634,xc_1016634,23,0.0,0.68,biodenoising,,,,,
bktgul,xc:1016634,xc_1016634,24,0.0,0.78,biodenoising,,,,,
bktgul,xc:266263,xc_266263,1,0.0,0.25,biodenoising,,,,,
bktgul,xc:266263,xc_266263,2,0.0,0.43,biodenoising,,,,,
bktgul,xc:266263,xc_266263,3,0.0,0.51,biodenoising,,,,,
bktgul,xc:266263,xc_266263,10,0.0,0.28,biodenoising,,,,,
bktgul,xc:286305,xc_286305,0,0.0,2.31,biodenoising,,,,,
bktgul,xc:286305,xc_286305,2,0.0,1.5,biodenoising,,,,,
bktgul,xc:286305,xc_286305,3,0.0,1.04,biodenoising,,,,,
bktgul,xc:286305,xc_286305,6,0.0,1.3,biodenoising,,,,,
bktgul,xc:286305,xc_286305,25,0.0,0.73,biodenoising,,,,,
bktgul,xc:286306,xc_286306,0,0.0,8.0,biodenoising,,,,,
bktgul,xc:344913,xc_344913,0,0.0,1.13,biodenoising,,,,,
bktgul,xc:344913,xc_344913,1,0.0,2.19,biodenoising,,,,,
bktgul,xc:344913,xc_344913,3,0.0,3.26,biodenoising,,,,,
bktgul,xc:344913,xc_344913,4,0.0,2.2,biodenoising,,,,,
bktgul,xc:344913,xc_344913,5,0.0,2.92,biodenoising,,,,,
bktgul,xc:344932,xc_344932,1,0.0,0.36,biodenoising,,,,,
bktgul,xc:344932,xc_344932,2,0.0,0.44,biodenoising,,,,,
bktgul,xc:344932,xc_344932,3,0.0,0.49,biodenoising,,,,,
bktgul,xc:344932,xc_344932,5,0.0,0.51,biodenoising,,,,,
bktgul,xc:344932,xc_344932,6,0.0,0.5,biodenoising,,,,,
bktgul,xc:344933,xc_344933,16,0.0,0.35,biodenoising,,,,,
bktgul,xc:344933,xc_344933,17,0.0,0.44,biodenoising,,,,,
bktgul,xc:344933,xc_344933,18,0.0,0.48,biodenoising,,,,,
bktgul,xc:344933,xc_344933,20,0.0,0.5,biodenoising,,,,,
bktgul,xc:344933,xc_344933,21,0.0,0.49,biodenoising,,,,,
bktgul,xc:464604,xc_464604,23,0.0,0.34,biodenoising,,,,,
bktgul,xc:464604,xc_464604,27,0.0,0.4,biodenoising,,,,,
bktgul,xc:464604,xc_464604,161,0.0,0.47,biodenoising,,,,,
bktgul,xc:464604,xc_464604,167,0.0,2.13,biodenoising,,,,,
bktgul,xc:464604,xc_464604,204,0.0,0.7,biodenoising,,,,,
bktgul,xc:627390,xc_627390,20,0.0,0.38,biodenoising,,,,,
bktgul,xc:627390,xc_627390,23,0.0,0.12,biodenoising,,,,,
bktgul,xc:627390,xc_627390,35,0.0,2.07,biodenoising,,,,,
bktgul,xc:627390,xc_627390,36,0.0,1.42,biodenoising,,,,,
bktgul,xc:627390,xc_627390,61,0.0,0.4,biodenoising,,,,,
bktgul,xc:787497,xc_787497,1,0.0,8.0,biodenoising,,,,,
bktgul,xc:839073,xc_839073,0,0.0,1.31,biodenoising,,,,,
bktgul,xc:839073,xc_839073,5,0.0,0.44,biodenoising,,,,,
bktgul,xc:839073,xc_839073,24,0.0,0.35,biodenoising,,,,,
bktgul,xc:839073,xc_839073,28,0.0,0.64,biodenoising,,,,,
bktgul,xc:839073,xc_839073,63,0.0,0.41,biodenoising,,,,,
bktgul,xc:840767,xc_840767,0,0.0,0.4,biodenoising,,,,,
bktgul,xc:840767,xc_840767,40,0.0,0.44,biodenoising,,,,,
bktgul,xc:840767,xc_840767,42,0.0,0.47,biodenoising,,,,,
bktgul,xc:892290,xc_892290,0,0.0,0.06,biodenoising,,,,,
bktgul,xc:892290,xc_892290,1,0.0,0.13,biodenoising,,,,,
bktgul,xc:892290,xc_892290,4,0.0,0.44,biodenoising,,,,,
bktgul,xc:892290,xc_892290,5,0.0,0.05,biodenoising,,,,,
bktgul,xc:892290,xc_892290,28,0.0,0.94,biodenoising,,,,,
bktgul,xc:90299,xc_90299,0,0.0,8.0,biodenoising,,,,,
bktgul,xc:903942,xc_903942,0,0.0,0.91,biodenoising,,,,,
bktgul,xc:903942,xc_903942,2,0.0,0.81,biodenoising,,,,,
bktgul,xc:903942,xc_903942,4,0.0,0.77,biodenoising,,,,,
bktgul,xc:903942,xc_903942,5,0.0,0.28,biodenoising,,,,,
bktgul,xc:903942,xc_903942,6,0.0,0.81,biodenoising,,,,,
blakit1,xc:1026906,xc_1026906,2,0.0,1.88,biodenoising,,,,,
blakit1,xc:1026906,xc_1026906,18,0.0,2.59,biodenoising,,,,,
blakit1,xc:1026906,xc_1026906,20,0.0,2.37,biodenoising,,,,,
blakit1,xc:1026906,xc_1026906,50,0.0,2.19,biodenoising,,,,,
blakit1,xc:1026906,xc_1026906,74,0.0,2.18,biodenoising,,,,,
blakit1,xc:120438,xc_120438,0,0.0,0.7,biodenoising,,,,,
blakit1,xc:120438,xc_120438,1,0.0,0.22,biodenoising,,,,,
blakit1,xc:120438,xc_120438,3,0.0,0.81,biodenoising,,,,,
blakit1,xc:120438,xc_120438,4,0.0,0.18,biodenoising,,,,,
blakit1,xc:120438,xc_120438,5,0.0,1.3,biodenoising,,,,,
blakit1,xc:138441,xc_138441,1,0.0,1.26,biodenoising,,,,,
blakit1,xc:138441,xc_138441,7,0.0,0.27,biodenoising,,,,,
blakit1,xc:138441,xc_138441,10,0.0,0.25,biodenoising,,,,,
blakit1,xc:138441,xc_138441,14,0.0,0.53,biodenoising,,,,,
blakit1,xc:138441,xc_138441,15,0.0,0.37,biodenoising,,,,,
blakit1,xc:139768,xc_139768,6,0.0,1.14,biodenoising,,,,,
blakit1,xc:139768,xc_139768,7,0.0,0.86,biodenoising,,,,,
blakit1,xc:139768,xc_139768,36,0.0,0.24,biodenoising,,,,,
blakit1,xc:139768,xc_139768,39,0.0,0.22,biodenoising,,,,,
blakit1,xc:139768,xc_139768,96,0.0,1.21,biodenoising,,,,,
blakit1,xc:192707,xc_192707,20,0.0,0.28,biodenoising,,,,,
blakit1,xc:192707,xc_192707,38,0.0,1.82,biodenoising,,,,,
blakit1,xc:192707,xc_192707,40,0.0,1.46,biodenoising,,,,,
blakit1,xc:309401,xc_309401,0,0.0,8.0,biodenoising,,,,,
blakit1,xc:309401,xc_309401,4,0.0,2.24,biodenoising,,,,,
blakit1,xc:309401,xc_309401,18,0.0,1.65,biodenoising,,,,,
blakit1,xc:309401,xc_309401,24,0.0,2.77,biodenoising,,,,,
blakit1,xc:309401,xc_309401,36,0.0,3.14,biodenoising,,,,,
blakit1,xc:493737,xc_493737,1,0.0,0.16,biodenoising,,,,,
blakit1,xc:507829,xc_507829,0,0.0,3.62,biodenoising,,,,,
blakit1,xc:507829,xc_507829,2,0.0,0.27,biodenoising,,,,,
blakit1,xc:578427,xc_578427,22,0.0,1.39,biodenoising,,,,,
blakit1,xc:578427,xc_578427,28,0.0,0.76,biodenoising,,,,,
blakit1,xc:578427,xc_578427,32,0.0,0.73,biodenoising,,,,,
blakit1,xc:578427,xc_578427,37,0.0,1.83,biodenoising,,,,,
blakit1,xc:578427,xc_578427,40,0.0,1.4,biodenoising,,,,,
blakit1,xc:807584,xc_807584,18,0.0,0.32,biodenoising,,,,,
blakit1,xc:807584,xc_807584,42,0.0,0.24,biodenoising,,,,,
blakit1,xc:986303,xc_986303,10,0.0,1.7,biodenoising,,,,,
blakit1,xc:993943,xc_993943,2,0.0,0.16,biodenoising,,,,,
blakit1,xc:993943,xc_993943,4,0.0,0.07,biodenoising,,,,,
blakit1,xc:993943,xc_993943,6,0.0,1.39,biodenoising,,,,,
brebul1,xc:102459,xc_102459,12,0.0,1.13,biodenoising,,,,,
brebul1,xc:102459,xc_102459,13,0.0,0.88,biodenoising,,,,,
brebul1,xc:102459,xc_102459,15,0.0,0.6,biodenoising,,,,,
brebul1,xc:102459,xc_102459,16,0.0,0.6,biodenoising,,,,,
brebul1,xc:102459,xc_102459,31,0.0,0.82,biodenoising,,,,,
brebul1,xc:155867,xc_155867,0,0.0,0.3,biodenoising,,,,,
brebul1,xc:155867,xc_155867,1,0.0,0.3,biodenoising,,,,,
brebul1,xc:155867,xc_155867,2,0.0,0.28,biodenoising,,,,,
brebul1,xc:155867,xc_155867,3,0.0,0.29,biodenoising,,,,,
brebul1,xc:155867,xc_155867,7,0.0,1.64,biodenoising,,,,,
brebul1,xc:200439,xc_200439,143,0.0,1.64,biodenoising,,,,,
brebul1,xc:200439,xc_200439,144,0.0,0.66,biodenoising,,,,,
brebul1,xc:206723,xc_206723,0,0.0,2.33,biodenoising,,,,,
brebul1,xc:206723,xc_206723,4,0.0,1.24,biodenoising,,,,,
brebul1,xc:206723,xc_206723,11,0.0,2.42,biodenoising,,,,,
brebul1,xc:206723,xc_206723,23,0.0,0.46,biodenoising,,,,,
brebul1,xc:206723,xc_206723,28,0.0,2.63,biodenoising,,,,,
brebul1,xc:285857,xc_285857,0,0.0,0.99,biodenoising,,,,,
brebul1,xc:285857,xc_285857,1,0.0,1.08,biodenoising,,,,,
brebul1,xc:285857,xc_285857,7,0.0,1.51,biodenoising,,,,,
brebul1,xc:285857,xc_285857,16,0.0,4.81,biodenoising,,,,,
brebul1,xc:464610,xc_464610,3,0.0,1.86,biodenoising,,,,,
brebul1,xc:464610,xc_464610,5,0.0,1.76,biodenoising,,,,,
brebul1,xc:464610,xc_464610,11,0.0,1.44,biodenoising,,,,,
brebul1,xc:464610,xc_464610,13,0.0,1.13,biodenoising,,,,,
brebul1,xc:464610,xc_464610,33,0.0,2.58,biodenoising,,,,,
brebul1,xc:466085,xc_466085,0,0.0,0.31,biodenoising,,,,,
brebul1,xc:466085,xc_466085,1,0.0,2.88,biodenoising,,,,,
brebul1,xc:551615,xc_551615,3,0.0,1.86,biodenoising,,,,,
brebul1,xc:551615,xc_551615,21,0.0,4.27,biodenoising,,,,,
brebul1,xc:551615,xc_551615,22,0.0,0.31,biodenoising,,,,,
brebul1,xc:551615,xc_551615,50,0.0,1.32,biodenoising,,,,,
brebul1,xc:551615,xc_551615,68,0.0,0.99,biodenoising,,,,,
brebul1,xc:551617,xc_551617,3,0.0,0.88,biodenoising,,,,,
brebul1,xc:551617,xc_551617,4,0.0,1.11,biodenoising,,,,,
brebul1,xc:551619,xc_551619,14,0.0,0.62,biodenoising,,,,,
brebul1,xc:551619,xc_551619,16,0.0,1.56,biodenoising,,,,,
brebul1,xc:551619,xc_551619,17,0.0,0.63,biodenoising,,,,,
brebul1,xc:551619,xc_551619,19,0.0,0.61,biodenoising,,,,,
brebul1,xc:551619,xc_551619,20,0.0,0.54,biodenoising,,,,,
brebul1,xc:551620,xc_551620,2,0.0,0.39,biodenoising,,,,,
brebul1,xc:551620,xc_551620,8,0.0,0.39,biodenoising,,,,,
brebul1,xc:551620,xc_551620,9,0.0,0.41,biodenoising,,,,,
brebul1,xc:551620,xc_551620,11,0.0,3.36,biodenoising,,,,,
brebul1,xc:551620,xc_551620,12,0.0,0.8,biodenoising,,,,,
brebul1,xc:578805,xc_578805,0,0.0,1.53,biodenoising,,,,,
brebul1,xc:578805,xc_578805,1,0.0,1.29,biodenoising,,,,,
brebul1,xc:578805,xc_578805,22,0.0,1.24,biodenoising,,,,,
brebul1,xc:834175,xc_834175,0,0.0,4.09,biodenoising,,,,,
brebul1,xc:834175,xc_834175,11,0.0,4.17,biodenoising,,,,,
brebul1,xc:834175,xc_834175,36,0.0,0.85,biodenoising,,,,,
brebul1,xc:834175,xc_834175,40,0.0,0.85,biodenoising,,,,,
