species_code,recording_id,safe_id,bout_idx,note_idx,note_onset,note_offset,cluster_id,cluster_prob,quality_score
bktgul,xc:840768,xc_840768,42,0,107.65,108.58,4,1.0,0.7188
bktgul,xc:286305,xc_286305,2,0,8.82,9.86,0,0.8886,0.7128
bktgul,xc:286305,xc_286305,2,3,11.82,13.12,0,0.9458,0.6585
bktgul,xc:286305,xc_286305,0,0,0.02,2.33,0,0.8433,0.6546
bktgul,xc:840768,xc_840768,44,0,110.62,111.38,4,1.0,0.6527
bktgul,xc:840768,xc_840768,40,0,93.59,94.46,4,1.0,0.6413
bktgul,xc:1008519,xc_1008519,18,12,64.42,65.06,3,0.7335,0.6391
bktgul,xc:1008519,xc_1008519,15,0,48.7,49.47,3,0.6575,0.634
bktgul,xc:1008519,xc_1008519,15,5,52.65,53.15,3,0.7798,0.6304
bktgul,xc:286305,xc_286305,2,2,10.32,11.63,0,1.0,0.6253
bktgul,xc:1008519,xc_1008519,23,2,86.3,86.87,3,0.685,0.6212
bktgul,xc:344933,xc_344933,14,0,24.99,25.34,3,0.7502,0.618
bktgul,xc:1008519,xc_1008519,18,11,63.83,64.37,3,0.6624,0.6122
bktgul,xc:344932,xc_344932,1,0,0.82,1.18,3,0.7502,0.6118
bktgul,xc:1016634,xc_1016634,0,4,3.87,4.32,2,0.8519,0.6063
bktgul,xc:344933,xc_344933,4,0,5.39,5.67,3,0.65,0.6053
bktgul,xc:286305,xc_286305,1,1,7.05,8.55,0,0.831,0.6032
bktgul,xc:1016634,xc_1016634,6,0,24.15,25.06,2,1.0,0.5916
bktgul,xc:1016634,xc_1016634,1,2,7.72,8.35,2,1.0,0.5903
bktgul,xc:1016634,xc_1016634,2,1,12.62,13.63,2,1.0,0.5778
bktgul,xc:1016634,xc_1016634,5,3,23.2,24.05,2,1.0,0.5699
bktgul,xc:344933,xc_344933,11,0,15.02,15.33,3,0.7502,0.5513
bktgul,xc:1002546,xc_1002546,15,0,19.55,19.88,1,1.0,0.5406
bktgul,xc:464604,xc_464604,15,2,58.71,59.11,1,0.6815,0.5277
bktgul,xc:464604,xc_464604,9,0,35.34,35.93,1,0.6815,0.5204
bktgul,xc:464604,xc_464604,18,0,65.5,65.74,1,0.6815,0.5113
bktgul,xc:1002546,xc_1002546,23,0,35.23,35.57,1,1.0,0.5108
bktgul,xc:1002546,xc_1002546,3,0,4.14,4.42,1,0.8999,0.5062
bktgul,xc:1002546,xc_1002546,9,0,12.18,12.53,1,1.0,0.4961
bktgul,xc:464604,xc_464604,0,3,4.46,4.96,1,0.7086,0.4906
bktgul,xc:464604,xc_464604,4,1,14.37,15.62,1,0.6815,0.4825
bktgul,xc:1002546,xc_1002546,8,0,10.0,10.53,1,1.0,0.4784
bktgul,xc:627390,xc_627390,5,3,20.59,21.0,1,0.6889,0.4665
bktgul,xc:627390,xc_627390,13,0,43.79,50.11,1,0.759,0.4624
blakit1,xc:578427,xc_578427,15,4,47.56,48.3,4,0.5278,0.847
blakit1,xc:578427,xc_578427,3,0,15.28,16.0,4,0.5278,0.8461
blakit1,xc:139768,xc_139768,22,4,94.13,94.4,1,0.7105,0.8436
blakit1,xc:309401,xc_309401,3,0,21.56,23.8,2,0.7806,0.8432
blakit1,xc:309401,xc_309401,19,0,77.44,80.58,2,1.0,0.839
blakit1,xc:139768,xc_139768,11,0,46.46,46.7,1,0.6346,0.8362
blakit1,xc:578427,xc_578427,13,2,37.95,38.74,4,0.5278,0.8357
blakit1,xc:309401,xc_309401,14,3,56.28,59.05,2,0.8589,0.835
blakit1,xc:578427,xc_578427,7,4,23.66,24.44,4,0.4693,0.8312
blakit1,xc:139768,xc_139768,24,2,101.73,102.94,1,0.666,0.8099
blakit1,xc:139768,xc_139768,17,3,74.83,76.07,1,0.9953,0.804
blakit1,xc:139768,xc_139768,16,1,65.26,66.41,1,1.0,0.8031
blakit1,xc:138441,xc_138441,4,0,14.66,15.72,4,0.6008,0.8027
blakit1,xc:138441,xc_138441,1,0,5.72,5.99,4,0.5167,0.7906
blakit1,xc:628280,xc_628280,1,0,5.53,6.71,4,0.5788,0.7813
blakit1,xc:138441,xc_138441,4,1,16.03,16.86,4,0.6008,0.7802
blakit1,xc:120438,xc_120438,1,4,4.38,5.68,4,0.5237,0.7799
blakit1,xc:309401,xc_309401,12,1,44.99,47.4,2,1.0,0.7635
blakit1,xc:578427,xc_578427,0,3,6.13,6.88,4,0.5278,0.7558
blakit1,xc:192707,xc_192707,9,0,24.59,24.87,0,0.7236,0.7534
blakit1,xc:1026906,xc_1026906,1,4,9.98,10.25,3,0.5514,0.7532
blakit1,xc:138441,xc_138441,0,6,3.77,4.33,4,0.6008,0.7496
blakit1,xc:309401,xc_309401,4,0,23.94,30.34,2,0.9212,0.7486
blakit1,xc:138441,xc_138441,2,0,7.55,7.8,4,0.5115,0.7477
blakit1,xc:120438,xc_120438,1,2,2.87,3.68,4,0.5333,0.7358
blakit1,xc:628280,xc_628280,2,0,7.31,8.49,4,0.6382,0.7314
blakit1,xc:1026906,xc_1026906,3,1,23.55,25.3,3,0.4893,0.7219
blakit1,xc:192707,xc_192707,5,0,13.99,16.49,0,0.8224,0.7038
blakit1,xc:493737,xc_493737,9,2,28.18,29.13,4,0.7153,0.7027
blakit1,xc:1026906,xc_1026906,7,3,31.55,32.73,3,0.587,0.6901
blakit1,xc:807584,xc_807584,8,2,13.47,14.41,4,0.469,0.687
blakit1,xc:192707,xc_192707,21,0,46.13,47.59,0,0.8192,0.6841
blakit1,xc:493737,xc_493737,9,3,29.26,29.91,4,0.7911,0.6783
blakit1,xc:493737,xc_493737,9,4,30.13,30.89,4,0.8072,0.6749
blakit1,xc:120438,xc_120438,0,0,1.0,1.7,4,0.4749,0.6691
blakit1,xc:493737,xc_493737,6,2,18.31,19.79,4,0.7153,0.6578
blakit1,xc:628280,xc_628280,0,0,2.92,3.25,4,0.5255,0.6492
blakit1,xc:993943,xc_993943,2,3,3.73,4.75,4,0.5666,0.6479
blakit1,xc:1026906,xc_1026906,11,0,42.36,42.5,3,0.5052,0.6309
blakit1,xc:493737,xc_493737,38,0,83.37,84.3,4,0.5779,0.6282
blakit1,xc:1026906,xc_1026906,28,7,79.6,80.0,3,0.5772,0.6251
blakit1,xc:192707,xc_192707,1,1,3.2,4.13,0,0.8521,0.5289
brebul1,xc:551619,xc_551619,3,0,13.34,13.96,1,1.0,0.7975
brebul1,xc:551619,xc_551619,3,5,17.99,18.6,1,0.8312,0.7969
brebul1,xc:551619,xc_551619,3,2,15.1,16.66,1,0.9787,0.7751
brebul1,xc:551619,xc_551619,3,6,18.67,19.21,1,0.816,0.7724
brebul1,xc:200439,xc_200439,18,4,57.77,59.66,6,0.9659,0.7577
brebul1,xc:200439,xc_200439,18,7,60.59,60.91,5,0.9464,0.75
brebul1,xc:200439,xc_200439,18,1,56.14,56.5,5,1.0,0.7467
brebul1,xc:551619,xc_551619,3,3,16.86,17.49,1,1.0,0.7442
brebul1,xc:200439,xc_200439,37,4,113.32,114.93,6,1.0,0.7416
brebul1,xc:200439,xc_200439,18,6,60.17,60.5,5,1.0,0.738
brebul1,xc:915184,xc_915184,2,0,12.67,15.63,3,0.9764,0.729
brebul1,xc:834175,xc_834175,41,0,88.01,92.64,0,0.753,0.7144
brebul1,xc:915185,xc_915185,0,6,3.35,4.14,3,1.0,0.7061
brebul1,xc:834175,xc_834175,6,0,14.3,18.47,0,0.8963,0.7054
brebul1,xc:834175,xc_834175,26,0,58.92,59.77,0,1.0,0.703
brebul1,xc:834175,xc_834175,34,1,73.68,74.51,0,1.0,0.6991
brebul1,xc:915184,xc_915184,2,2,16.76,18.18,3,1.0,0.6935
brebul1,xc:155867,xc_155867,12,0,35.02,35.3,8,0.9972,0.663
brebul1,xc:155867,xc_155867,0,0,0.02,0.32,8,1.0,0.6558
brebul1,xc:551615,xc_551615,10,4,38.77,39.23,2,0.9796,0.6523
brebul1,xc:155867,xc_155867,6,6,27.0,27.26,8,1.0,0.6511
brebul1,xc:155867,xc_155867,4,5,16.85,17.27,8,0.8735,0.6407
brebul1,xc:155867,xc_155867,1,6,3.9,5.54,7,1.0,0.6373
brebul1,xc:551615,xc_551615,8,4,34.54,35.04,2,0.9796,0.627
brebul1,xc:551615,xc_551615,9,0,36.0,36.44,2,0.9796,0.6254
brebul1,xc:551615,xc_551615,10,0,37.43,37.88,2,0.8923,0.6253
brebul1,xc:551615,xc_551615,7,2,28.92,29.46,2,0.9753,0.6181
brebul1,xc:891338,xc_891338,0,1,0.35,1.41,4,0.8981,0.515
brebul1,xc:784921,xc_784921,5,5,13.33,13.74,4,0.9118,0.4828
brebul1,xc:891338,xc_891338,0,8,4.03,4.38,4,1.0,0.4825
brebul1,xc:891338,xc_891338,0,7,3.83,3.92,4,0.9417,0.475
buhshr1,xc:762423,xc_762423,2,0,6.46,9.44,4,0.6022,0.8082
buhshr1,xc:762423,xc_762423,6,0,21.22,23.87,4,1.0,0.7648
buhshr1,xc:762423,xc_762423,0,3,1.35,3.48,4,0.7625,0.7468
buhshr1,xc:762423,xc_762423,14,0,36.71,39.05,4,1.0,0.7415
buhshr1,xc:954180,xc_954180,8,1,18.21,18.35,5,1.0,0.7282
buhshr1,xc:954180,xc_954180,3,0,3.0,3.13,5,0.9873,0.7218
buhshr1,xc:954180,xc_954180,2,0,2.44,2.58,5,1.0,0.7071
buhshr1,xc:841025,xc_841025,4,0,6.58,6.76,2,1.0,0.7025
buhshr1,xc:841025,xc_841025,5,0,7.31,7.47,2,1.0,0.7022
buhshr1,xc:793926,xc_793926,9,0,28.52,29.54,8,1.0,0.7019
buhshr1,xc:841025,xc_841025,11,0,12.88,13.05,2,0.9688,0.6977
buhshr1,xc:841025,xc_841025,8,1,10.58,10.76,2,0.9688,0.6968
buhshr1,xc:841025,xc_841025,8,0,10.05,10.22,2,0.9618,0.6903
buhshr1,xc:194693,xc_194693,0,3,2.15,2.87,0,1.0,0.6901
buhshr1,xc:793926,xc_793926,11,0,31.02,32.64,8,0.9731,0.6867
buhshr1,xc:793925,xc_793925,5,0,14.54,17.14,8,0.8471,0.6862
buhshr1,xc:260142,xc_260142,5,4,21.55,22.86,7,1.0,0.6839
buhshr1,xc:954180,xc_954180,4,3,4.88,5.04,5,0.9519,0.6802
buhshr1,xc:793926,xc_793926,6,0,18.01,19.83,8,1.0,0.68
buhshr1,xc:793918,xc_793918,5,0,11.16,12.07,8,1.0,0.6773
buhshr1,xc:954180,xc_954180,8,4,19.33,19.52,5,1.0,0.6735
buhshr1,xc:793918,xc_793918,13,0,36.51,38.04,8,0.9194,0.6731
buhshr1,xc:260142,xc_260142,8,1,35.14,41.47,7,1.0,0.6682
buhshr1,xc:793926,xc_793926,3,0,8.81,10.24,8,1.0,0.6634
buhshr1,xc:661928,xc_661928,0,0,0.27,5.54,11,0.8901,0.6606
buhshr1,xc:793918,xc_793918,6,1,13.82,15.19,8,1.0,0.6593
buhshr1,xc:793918,xc_793918,2,0,4.77,5.75,8,1.0,0.658
buhshr1,xc:194693,xc_194693,0,1,0.69,0.94,0,0.9855,0.6528
buhshr1,xc:194693,xc_194693,2,3,8.97,9.23,0,0.8181,0.6513
buhshr1,xc:194693,xc_194693,0,7,4.42,4.74,0,1.0,0.6486
buhshr1,xc:194693,xc_194693,0,4,3.01,3.31,0,0.9504,0.6361
buhshr1,xc:260142,xc_260142,7,2,27.98,30.73,7,1.0,0.6266
buhshr1,xc:661928,xc_661928,2,1,14.07,15.21,11,1.0,0.5947
buhshr1,xc:794952,xc_794952,3,0,21.24,28.22,9,0.8886,0.578
buhshr1,xc:260142,xc_260142,8,2,41.55,41.75,10,0.5972,0.5675
buhshr1,xc:661928,xc_661928,4,0,19.26,21.24,11,1.0,0.5618
buhshr1,xc:842854,xc_842854,7,0,18.78,26.78,1,1.0,0.5382
buhshr1,xc:842854,xc_842854,12,7,40.04,40.13,1,0.6392,0.5359
buhshr1,xc:793918,xc_793918,2,2,6.38,6.56,6,1.0,0.5358
buhshr1,xc:1052423,xc_1052423,15,0,13.11,13.23,10,0.9331,0.5337
buhshr1,xc:842854,xc_842854,12,3,38.26,38.68,1,0.778,0.5311
buhshr1,xc:1052423,xc_1052423,16,4,14.8,14.94,10,0.9578,0.5247
buhshr1,xc:842854,xc_842854,11,1,30.75,33.51,1,1.0,0.5204
buhshr1,xc:260142,xc_260142,8,0,34.8,35.0,10,0.6038,0.5136
buhshr1,xc:842854,xc_842854,2,1,11.16,12.48,1,1.0,0.5105
buhshr1,xc:1052423,xc_1052423,22,0,20.6,20.69,10,0.8021,0.5081
buhshr1,xc:1052423,xc_1052423,23,2,22.0,22.09,10,0.7345,0.5045
buhshr1,xc:1052423,xc_1052423,0,0,0.02,0.14,10,0.6146,0.4952
buhshr1,xc:794803,xc_794803,8,0,28.0,32.04,9,1.0,0.4819
buhshr1,xc:794952,xc_794952,1,0,2.9,5.66,9,0.9829,0.4762
buhshr1,xc:794952,xc_794952,2,0,11.46,13.11,9,0.7747,0.467
buhshr1,xc:794803,xc_794803,3,0,11.69,12.6,9,1.0,0.4517
buhshr1,xc:794803,xc_794803,1,0,7.42,8.59,9,1.0,0.4419
burthr,xc:417711,xc_417711,36,2,132.27,134.91,2,1.0,0.8586
burthr,xc:417711,xc_417711,22,0,91.49,95.01,2,1.0,0.8485
burthr,xc:417711,xc_417711,26,1,100.43,104.87,2,1.0,0.8389
burthr,xc:417711,xc_417711,30,3,112.54,118.22,2,1.0,0.8353
burthr,xc:417711,xc_417711,15,1,57.17,58.79,2,1.0,0.8348
burthr,xc:472199,xc_472199,20,0,69.28,69.59,5,1.0,0.7679
burthr,xc:310120,xc_310120,7,2,31.07,34.14,3,1.0,0.7651
burthr,xc:310120,xc_310120,2,0,7.07,10.1,3,1.0,0.7597
burthr,xc:1023727,xc_1023727,13,1,41.27,43.23,3,0.862,0.753
burthr,xc:472199,xc_472199,2,17,11.23,11.41,5,1.0,0.7474
burthr,xc:310120,xc_310120,21,4,93.09,95.14,3,0.9897,0.7432
burthr,xc:310120,xc_310120,5,1,19.11,20.46,3,0.786,0.7431
burthr,xc:310120,xc_310120,0,6,3.35,4.35,3,0.7987,0.7406
burthr,xc:472199,xc_472199,2,14,9.81,10.04,5,0.943,0.7395
burthr,xc:472199,xc_472199,14,5,47.96,48.27,5,0.9822,0.7389
burthr,xc:472199,xc_472199,21,5,73.84,74.03,5,1.0,0.7229
burthr,xc:1023727,xc_1023727,20,1,79.42,79.98,3,0.8842,0.7124
burthr,xc:1023727,xc_1023727,18,2,67.04,69.53,3,0.8341,0.7063
burthr,xc:1023727,xc_1023727,7,6,27.98,29.09,3,0.8647,0.7057
burthr,xc:134325,xc_134325,15,0,89.45,97.45,1,0.4066,0.6955
burthr,xc:480601,xc_480601,17,6,41.01,41.1,0,1.0,0.6395
burthr,xc:134325,xc_134325,4,0,12.9,20.9,1,0.3977,0.6378
burthr,xc:134325,xc_134325,3,0,4.9,12.9,1,0.4486,0.6321
burthr,xc:480601,xc_480601,7,0,14.0,14.08,0,0.8005,0.6123
burthr,xc:480601,xc_480601,17,4,40.6,40.7,0,1.0,0.6113
burthr,xc:480601,xc_480601,17,5,40.81,40.92,0,1.0,0.6109
burthr,xc:480601,xc_480601,17,1,39.89,39.98,0,1.0,0.5981
burthr,xc:743862,xc_743862,7,6,24.2,24.3,4,1.0,0.5978
burthr,xc:134330,xc_134330,1,1,2.37,2.54,1,0.4194,0.5863
burthr,xc:134325,xc_134325,11,0,68.9,76.9,1,0.4338,0.5841
burthr,xc:134325,xc_134325,9,0,52.9,60.9,1,0.4216,0.583
burthr,xc:743862,xc_743862,29,6,86.32,86.4,4,1.0,0.5408
burthr,xc:1063823,xc_1063823,13,6,43.59,43.7,4,1.0,0.5256
burthr,xc:134330,xc_134330,17,2,28.78,32.06,1,0.4872,0.4997
burthr,xc:134330,xc_134330,41,0,78.06,78.16,1,0.3964,0.4981
burthr,xc:1063823,xc_1063823,6,0,16.75,16.88,4,1.0,0.4948
burthr,xc:134330,xc_134330,19,0,36.55,37.22,1,0.616,0.4933
burthr,xc:1063823,xc_1063823,16,6,51.55,51.66,4,1.0,0.4873
burthr,xc:1063823,xc_1063823,7,3,23.18,23.25,4,1.0,0.4759
burthr,xc:134330,xc_134330,25,7,57.82,58.35,1,0.5379,0.4694
carcro1,xc:138017,xc_138017,1,0,0.84,5.51,1,1.0,0.8582
carcro1,xc:138017,xc_138017,18,0,68.77,75.24,1,1.0,0.853
carcro1,xc:138017,xc_138017,15,1,61.27,66.41,1,0.9086,0.8506
carcro1,xc:138017,xc_138017,12,1,47.65,51.84,1,0.9991,0.8496
carcro1,xc:138017,xc_138017,14,0,54.59,60.63,1,1.0,0.8493
carcro1,xc:1079008,xc_1079008,2,0,4.61,5.51,7,1.0,0.7389
carcro1,xc:936225,xc_936225,2,0,5.57,6.24,7,1.0,0.7209
carcro1,xc:688118,xc_688118,8,0,23.89,24.42,0,0.8482,0.7175
